,region,council,date_issued,council_ref,location_all,location_street,location_suburb,location_area,legal_description,val_number, consent_value ,description
5039,Wellington,Hutt,28-Mar-17,BC170241,"7 Clement Grove Taita
5011  ","7 Clement Grove Taita
5011",,,LOT 1 DP 91145 INT IN ROW 58D/178,," $3,500.00 ",residential - install fsf masport r1500 wood burner
5044,Wellington,Hutt,29-Mar-17,BC170187,15 Kingsley Street Stokes Valley 5019  ,15 Kingsley Street Stokes Valley 5019,,,LOT 7 DP 29033 5D/1412,," $4,800.00 ",residential - installation of fsf pyroclassic iv wood burner
5046,Wellington,Hutt,29-Mar-17,BC170221,"34 Poto Road
Normandale   5010  ","34 Poto Road
Normandale   5010",,,LOT 2 DP 23543 B2/1231,," $4,000.00 ",residential - install fsf masport minos 2 wood burner
5048,Wellington,Hutt,29-Mar-17,BC170239,"179 Normandale Road
Normandale   5010  ","179 Normandale Road
Normandale   5010",,,LOT 30 DP 18067 775/33,," $3,500.00 ",residential - install fsf metro wee rad wood burner
5049,Wellington,Hutt,29-Mar-17,BC170240,"242 Muritai Road
Eastbourne   5013  ","242 Muritai Road
Eastbourne   5013",,,LOT 3 DP 199 354/137,," $3,500.00 ",residential - install fsf woodsman wood burner
5068,Wellington,Hutt,06-Apr-17,BC170281,126 Muritai Road Eastbourne   5013  ,126 Muritai Road Eastbourne   5013,,,PT LOT 11 DP 774 PT LOT 66 DP 826 93/87,," $5,000.00 ",residential - install fsf yunca monte wood burner
5069,Wellington,Hutt,06-Apr-17,BC170185,24 Konini Street Eastbourne   5013  ,24 Konini Street Eastbourne   5013,,,LOT 20 DP 804,," $4,800.00 ",residential - installation of fsf metro wee wood burner
5070,Wellington,Hutt,06-Apr-17,BC170276,55 Meremere Street  ,55 Meremere Street,,,LOT 42 DP 32220,," $3,300.00 ",residential - install fsf masport r1600 wood burner
5072,Wellington,Hutt,06-Apr-17,BC170263,82 Richmond Street 5011  ,82 Richmond Street 5011,,,PT LOT 14 DP 182 WN108/164,," $3,000.00 ",residential - install fsf metro wee rad wood burner
5073,Wellington,Hutt,06-Apr-17,BC170277,13 Kiwi Street Alicetown   2500  ,13 Kiwi Street Alicetown   2500,,,LOT 118 DP 1984 251/276,," $2,500.00 ",residential - install fsf metro wee rad wood burner
5081,Wellington,Hutt,10-Apr-17,BC170303,31 Poto Road Normandale   5010  ,31 Poto Road Normandale   5010,,,LOT 1 DP24860 7A/781,," $4,200.00 ",residential - install fsf masport r5000 wood burner
5101,Wellington,Hutt,20-Apr-17,BC170184,135 Waiwhetu Road Waterloo   5011  ,135 Waiwhetu Road Waterloo   5011,,,LOT 1 DP24327 C3 /147,," $5,900.00 ",residential - installation of fsf firenzo wood burner
5102,Wellington,Hutt,20-Apr-17,BC170323,173 Liverton Road Kelson 5010  ,173 Liverton Road Kelson 5010,,,"LOT 2 DP 80494 CT
47A/693",," $2,400.00 ","residential - install fsf
masport wood burner"
5107,Wellington,Hutt,21-Apr-17,BC170324,29 Mission Street Waterloo   5011  ,29 Mission Street Waterloo   5011,,,LOT 34 DP 28687 5A/887,," $4,500.00 ","residential - install fsf
masport wood burner"
5123,Wellington,Hutt,28-Apr-17,BC170350,2 Short Street Wainuiomata   5014  ,2 Short Street Wainuiomata   5014,,,LOT 110 DP 14178,," $1,629.00 ","residential - installation of
free standing wood burner"
5245,Wellington,Hutt,02-Jun-17,BC170463,"18 Marama Terrace
Eastbourne   5013  ","18 Marama Terrace
Eastbourne   5013",,,"LOT 2 DP 50767 1/5
SHARE LOT 6 DP 50767 22B/385 1/5 SHARE",," $4,950.00 ",residential - install ibf masport bannockburn wood burner
5250,Wellington,Hutt,06-Jun-17,BC170520,14 A Pokohiwi Road Normandale   5010  ,14 A Pokohiwi Road Normandale   5010,,,LOT 4 DP24055 A3/1443,," $4,900.00 ",residential - install fsf masport osburn wood burner
5252,Wellington,Hutt,06-Jun-17,BC170519,17 Poppy Watts Grove Stokes Valley   5019  ,17 Poppy Watts Grove Stokes Valley   5019,,,LOT 8 DP 464314 CT 616425,," $4,500.00 ",residential - install fsf masport 1600 wood burner
5257,Wellington,Hutt,07-Jun-17,BC170507,"38 Frederick Street
Avalon   5011  ","38 Frederick Street
Avalon   5011",,,LOT 12 DP 20898 860/38,," $2,000.00 ",residential - install fsf woodsman wood burner
5263,Wellington,Hutt,08-Jun-17,BC170501,"32 Mudie Street
Alicetown   5010  ","32 Mudie Street
Alicetown   5010",,,LOT 177 DP 50 407/278,," $5,000.00 ",residential - install fsf metro wee rad woodburner
5264,Wellington,Hutt,08-Jun-17,BC170518,26 A Tennyson Avenue Avalon   5011  ,26 A Tennyson Avenue Avalon   5011,,,LOT 2 DP 27686 E4/53,," $4,000.00 ",residential - install fsf masport wanaka wood burner
5269,Wellington,Hutt,09-Jun-17,BC170526,3 Fuller Grove Woburn 5010  ,3 Fuller Grove Woburn 5010,,,LOT 10 DP 2352 26C/971,," $5,000.00 ",residential - install fsf bocsa 360 wood burner
5270,Wellington,Hutt,09-Jun-17,BC170530,3 Tawa Street Eastbourne   5013  ,3 Tawa Street Eastbourne   5013,,,PT LOTS 14 15 16 DP 1229 834/97,," $5,000.00 ",residential - install fsf  pyroclassic wood burner
5271,Wellington,Hutt,09-Jun-17,BC170491,5 Hanson Grove Stokes Valley   5019  ,5 Hanson Grove Stokes Valley   5019,,,LOT 98 DP 19998 9B/1001,," $4,500.00 ",residential - install ibf jayline is550 wood burner
5276,Wellington,Hutt,12-Jun-17,BC170517,19 Rondane Place Tirohanga   5010  ,19 Rondane Place Tirohanga   5010,,,LOT 78 DP 28084 F4/584,," $4,000.00 ",residential - install fsf masport r1500 wood fire
5284,Wellington,Hutt,13-Jun-17,BC170538,410 Moores Valley Road Wainuiomata   5373  ,410 Moores Valley Road Wainuiomata   5373,,,LOT 5 DP 24099,," $1,500.00 ",residential - install fsf woodsman tarras wood burner
5312,Wellington,Hutt,20-Jun-17,BC170562,2 / 151 Hill Road Belmont  ,2 / 151 Hill Road Belmont,,,LOT 4 DP 71314 38B/272,," $5,500.00 ",residential - install fsf warmington studio wood burner
5320,Wellington,Hutt,22-Jun-17,BC170516,23 Kopara Grove Stokes Valley   5019  ,23 Kopara Grove Stokes Valley   5019,,,LOT 14 DP 14251 560/153,," $4,000.00 ",woodsman wood burner
5321,Wellington,Hutt,22-Jun-17,BC170542,Flat 1 / 6 Mcmanaway Grove Stokes Valley 5019  ,Flat 1 / 6 Mcmanaway Grove Stokes Valley 5019,,,FLAT 1 DP 70393 ON LOT 8 DP 67026 1/2 SHARE,," $2,100.00 ",woodsman ecr novo wood burner
5325,Wellington,Hutt,23-Jun-17,BC170590,"18 Davis Grove
Wainuiomata   5014  ","18 Davis Grove
Wainuiomata   5014",,,LOT 9 DP 18778 F4/121,," $4,100.00 ",residential - install fsf bosca 360 wood burner
5330,Wellington,Hutt,26-Jun-17,BC170592,"2 / 14 Kilmister Grove
Boulcott   5011  ","2 / 14 Kilmister Grove
Boulcott   5011",,,LOT 1 DP 85474 53B/338,," $3,900.00 ",residential - install fsf wagner sparky wood burner
5356,Wellington,Kapiti,24-Jan-17,170019,12 Amokura Street Waikanae ,12 Amokura Street,Waikanae,,,," $4,000.00 ",installation of firenzo encore ag freestanding woodburner.
5357,Wellington,Kapiti,24-Jan-17,170018,371 Kapiti Road Paraparaumu ,371 Kapiti Road,Paraparaumu,,,," $3,000.00 ",installation of masport r1500 woodstacker freestanding woodburner
5363,Wellington,Kapiti,26-Jan-17,170022,55 Harper Road Te Horo ,55 Harper Road,Te Horo,,,," $3,000.00 ","install replacement freestanding woodburner, bosca firepoint 360 - remove wetback."
5379,Wellington,Kapiti,05-Feb-17,170258,69 Kiwi Road Raumati Beach ,69 Kiwi Road,Raumati Beach,,,," $4,500.00 ",replace old wood fire with a new masport akaroa woodfire
5380,Wellington,Kapiti,05-Feb-17,170257,21 Matai Road Raumati ,21 Matai Road,Raumati,,,," $4,500.00 ",replace old woodfire with a new masport akaroa wood fire.
5382,Wellington,Kapiti,05-Feb-17,170252,51 Taylors Road Otaki ,51 Taylors Road,Otaki,,,," $3,000.00 ",install masport bannockburn insert woodburner into existing masonry enclosure using existing flue.
5396,Wellington,Kapiti,10-Feb-17,170032,98 Seaview Road  Paraparaumu,98 Seaview Road,,Paraparaumu,,," $3,000.00 ",installation of new bosca 5-360 woodburner & flue
5400,Wellington,Kapiti,14-Feb-17,170057,12 Michael Road  Paraparaumu,12 Michael Road,,Paraparaumu,,," $3,000.00 ",replacement installation metro eco euro ped freestanding woodburner.
5401,Wellington,Kapiti,14-Feb-17,170033,166 Te Horo Beach Road  Te Horo,166 Te Horo Beach Road,,Te Horo,,," $3,000.00 ",replacement & installation of masport r1500 legs freestanding woodburner in house.
5407,Wellington,Kapiti,15-Feb-17,170051,1 Babbacombe Avenue  Otaki,1 Babbacombe Avenue,,Otaki,,," $3,000.00 ",installation of yunca freestanding hobson woodburner.
5408,Wellington,Kapiti,15-Feb-17,170034,166 Te Horo Beach Road  Te Horo,166 Te Horo Beach Road,,Te Horo,,," $1,200.00 ",installation of second-hand metro eco wee rad freestanding woodburner in the garage.
5423,Wellington,Kapiti,21-Feb-17,170080,53 Kiwi Road  Raumati Beach,53 Kiwi Road,,Raumati Beach,,," $4,000.00 ",installation of a new metro smart insert wood fire
5424,Wellington,Kapiti,21-Feb-17,170081,28 Heperi Street  Waikanae Beach,28 Heperi Street,,Waikanae Beach,,," $4,000.00 ",replacement installation firenzo lady k urban drawer freestanding woodburner
5425,Wellington,Kapiti,21-Feb-17,170084,26 Ngatiawa Road  Waikanae,26 Ngatiawa Road,,Waikanae,,," $3,000.00 ",replacement installation masport r5000 rural ped freestanding woodburner
5445,Wellington,Kapiti,02-Mar-17,170065,37 Hookway Grove  ,37 Hookway Grove,,,,," $3,500.00 ",installation of new woodsman ecr novo free standing wood fire.
5457,Wellington,Kapiti,05-Mar-17,170260,64 Rata Road Raumati ,64 Rata Road,Raumati,,,," $4,000.00 ",installation of a new woodsman flare ped woodfire
5461,Wellington,Kapiti,08-Mar-17,161010,48 Percival Road Paraparaumu ,48 Percival Road,Paraparaumu,,,," $120,000.00 ",addition to rear of dwelling + woodburner.
5473,Wellington,Kapiti,14-Mar-17,170116,141 Tutere Street Waikanae Beach ,141 Tutere Street,Waikanae Beach,,,," $5,000.00 ","installation of freestanding woodburner, woodsman ecr novo"
5474,Wellington,Kapiti,14-Mar-17,170107,82 Maui Pomare Road Paraparaumu ,82 Maui Pomare Road,Paraparaumu,,,," $4,000.00 ",replacement installation firenzo contessa leg freestanding woodburner using existing flashing.
5475,Wellington,Kapiti,14-Mar-17,170112,6 Repo Street Paraparaumu ,6 Repo Street,Paraparaumu,,,," $4,000.00 ",installation of firenzo plaza kompact ag inbuilt woodburner
5476,Wellington,Kapiti,14-Mar-17,170108,117 Tilley Road Paekakariki ,117 Tilley Road,Paekakariki,,,," $3,000.00 ",replacement installation masport r1500 w/s freestanding woodburner
5477,Wellington,Kapiti,14-Mar-17,170125,3 Tasman Road Otaki ,3 Tasman Road,Otaki,,,," $2,500.00 ",replacement installation of masport r1500 ped freestanding woodburner.
5479,Wellington,Kapiti,14-Mar-17,170124,23 Forest Road Raumati South ,23 Forest Road,Raumati South,,,," $1,500.00 ",install a second hand jayline ss400 freestanding woodburner.
5488,Wellington,Kapiti,28-Mar-17,170153,102 Rangiora Road Waikanae ,102 Rangiora Road,Waikanae,,,," $6,000.00 ",replace existing fire with a new firenzo contessa woodfire.
5489,Wellington,Kapiti,28-Mar-17,170170,28 Ngapaki Street Waikanae Beach ,28 Ngapaki Street,Waikanae Beach,,,," $4,000.00 ",installation firenzo deco kompact insert woodburner.
5498,Wellington,Kapiti,30-Mar-17,170180,4 Teoti Street Paraparaumu ,4 Teoti Street,Paraparaumu,,,," $6,300.00 ",installation of a pyroclassic iv woodburner
5500,Wellington,Kapiti,30-Mar-17,170175,5 Karu Crescent Waikanae ,5 Karu Crescent,Waikanae,,,," $4,000.00 ",installation of a metrofires eco tiny rad woodburner.
5501,Wellington,Kapiti,30-Mar-17,170172,41 Kiharoa Street Otaki ,41 Kiharoa Street,Otaki,,,," $3,000.00 ",installation of a masport r1500 ped freestanding woodburner.
5502,Wellington,Kapiti,31-Mar-17,170182,191 Ngatiawa Road Waikanae ,191 Ngatiawa Road,Waikanae,,,," $4,000.00 ",installation of a pyroclassic iv freestanding woodburner.
5506,Wellington,Kapiti,05-Apr-17,170259,14 Karaka Grove Raumati Beach ,14 Karaka Grove,Raumati Beach,,,," $4,500.00 ",installation of a new masport akaroa woodfire
5507,Wellington,Kapiti,05-Apr-17,170262,107 Ruapehu Street Paraparaumu ,107 Ruapehu Street,Paraparaumu,,,," $4,000.00 ",installation of a new kent murchison woodfire
5508,Wellington,Kapiti,05-Apr-17,170294,19 Vaucluse Avenue Paraparaumu ,19 Vaucluse Avenue,Paraparaumu,,,," $3,500.00 ",installation of inbuilt woodburner into existing chimney - kent logfire ii
5509,Wellington,Kapiti,05-Apr-17,170261,89 Donovan Road Paraparaumu ,89 Donovan Road,Paraparaumu,,,," $3,500.00 ",installation of new masport r1500 woodfire
5510,Wellington,Kapiti,05-Apr-17,170266,121 Alexander Road Raumati Beach ,121 Alexander Road,Raumati Beach,,,," $3,400.00 ",install a new masport r1500 woodburner.
5518,Wellington,Kapiti,07-Apr-17,160722A,16 Kaitawa Crescent Paraparaumu ,16 Kaitawa Crescent,Paraparaumu,,,," $15,000.00 ",two additional windows & associated bracing & lintel change; add ferva saturn woodburner to living room.
5521,Wellington,Kapiti,07-Apr-17,170188,6 St James Court Paraparaumu ,6 St James Court,Paraparaumu,,,," $4,000.00 ",installation of a new woodsman flare ped wood fire.
5522,Wellington,Kapiti,07-Apr-17,170187,28 Glen Road Raumati South ,28 Glen Road,Raumati South,,,," $4,000.00 ",installation of a metro wee rad woody wood fire
5523,Wellington,Kapiti,07-Apr-17,170185,72 Tennis Court Road Raumati South ,72 Tennis Court Road,Raumati South,,,," $3,000.00 ",installation of a masport r1500 freestanding woodburner.
5529,Wellington,Kapiti,11-Apr-17,170189,9 Manly Street Paraparaumu Beach ,9 Manly Street,Paraparaumu Beach,,,," $4,000.00 ",installation of a new woodsman tarras 111 wood fire
5532,Wellington,Kapiti,13-Apr-17,170214,319 Te Moana Road Waikanae ,319 Te Moana Road,Waikanae,,,," $4,000.00 ",installation of masport le4000 inbuilt woodburner.
5533,Wellington,Kapiti,13-Apr-17,170218,77 Marine Parade Paraparaumu ,77 Marine Parade,Paraparaumu,,,," $4,000.00 ",installation of firenzo diva kompact inbuilt woodburner.
5534,Wellington,Kapiti,13-Apr-17,170217,234 Pukenamu Road Waikanae ,234 Pukenamu Road,Waikanae,,,," $4,000.00 ",installation of metro eco wee ped freestandning woodburner.
5535,Wellington,Kapiti,13-Apr-17,170216,59 Tilley Road Paekakariki ,59 Tilley Road,Paekakariki,,,," $3,000.00 ",installation of masport i2000 inbuilt woodburner.
5536,Wellington,Kapiti,13-Apr-17,170215,334 Maungakotukutuku Road Paraparaumu ,334 Maungakotukutuku Road,Paraparaumu,,,," $3,000.00 ",installation of masport r1500 w/s freestanding woodburner
5537,Wellington,Kapiti,13-Apr-17,170200,28 Toi Street Otaki ,28 Toi Street,Otaki,,,," $2,500.00 ",installation of a new masport r1500 woodburner.
5543,Wellington,Kapiti,20-Apr-17,170232,14 Haumia Street Paekakariki ,14 Haumia Street,Paekakariki,,,," $4,500.00 ",to remove an old wood fire & install a new metro smart insert.
5544,Wellington,Kapiti,20-Apr-17,170233,34 Tainui Street Raumati Beach ,34 Tainui Street,Raumati Beach,,,," $4,000.00 ",installation of a new masport talisman woodfire
5545,Wellington,Kapiti,20-Apr-17,170237,218 Matai Road Raumati ,218 Matai Road,Raumati,,,," $4,000.00 ",installation of yunca monte base freestanding woodburner
5546,Wellington,Kapiti,20-Apr-17,170235,19 Awanui Drive Waikanae ,19 Awanui Drive,Waikanae,,,," $4,000.00 ",to remove an old woodfire & install a metro wee ped
5547,Wellington,Kapiti,20-Apr-17,170236,121 Gear Road Te Horo ,121 Gear Road,Te Horo,,,," $4,000.00 ",replacement installation firenzo encore ag freestanding woodburner using existing flashing
5548,Wellington,Kapiti,20-Apr-17,170245,68 School Road Te Horo ,68 School Road,Te Horo,,,," $3,600.00 ",installation of freestanding tarras iii woodburner to replace existing.
5564,Wellington,Kapiti,04-May-17,170183,165 Valley Road Paraparaumu ,165 Valley Road,Paraparaumu,,,," $4,000.00 ",installation of a firenzo encore ag freestanding woodburner using existing flashing.
5565,Wellington,Kapiti,04-May-17,170184,3 Renown Road Raumati South ,3 Renown Road,Raumati South,,,," $4,000.00 ",installation o a firenzo contessa legs urban freestanding woodburner.
5566,Wellington,Kapiti,04-May-17,170186,12 Haumia Street Paekakariki ,12 Haumia Street,Paekakariki,,,," $3,000.00 ",installation of a second hand jayline ss200 wood fire
5568,Wellington,Kapiti,05-May-17,170297,132 Ruapehu Street Paraparaumu ,132 Ruapehu Street,Paraparaumu,,,," $4,000.00 ",installation of a yunca monte freestanding woodburner
5580,Wellington,Kapiti,11-May-17,170316,257 Mazengarb Road Paraparaumu ,257 Mazengarb Road,Paraparaumu,,,," $4,000.00 ",installation of a masport mackenzie r10000 freestanding woodburner.
5581,Wellington,Kapiti,11-May-17,170317,166 Main Road South Paraparaumu ,166 Main Road South,Paraparaumu,,,," $3,000.00 ",installation of metro smart inbuilt zero clearance box woodburner & flue.
5582,Wellington,Kapiti,11-May-17,170230,58 Weggery Drive Waikanae Beach ,58 Weggery Drive,Waikanae Beach,,,," $1,500.00 ",instllation of hobson freestanding woodburner in founders lounge.
5596,Wellington,Kapiti,17-May-17,170319,138 Paetawa Road Peka Peka ,138 Paetawa Road,Peka Peka,,,," $4,000.00 ",installation of yunca hobson freestanding woodburner
5597,Wellington,Kapiti,17-May-17,170320,21 Rimu Street Waikanae ,21 Rimu Street,Waikanae,,,," $3,000.00 ",installation masport r1500 ped freestanding woodburner
5609,Wellington,Kapiti,23-May-17,170346,32B Marine Parade Otaki ,32B Marine Parade,Otaki,,,," $3,000.00 ",installation of masport i2000 inbuilt woodburner.
5610,Wellington,Kapiti,24-May-17,170347,21 Gawler Street Te Horo ,21 Gawler Street,Te Horo,,,," $5,000.00 ",installation of firenzo encore freestanding woodburner.
5611,Wellington,Kapiti,24-May-17,170343,9 Watson Drive Paraparaumu ,9 Watson Drive,Paraparaumu,,,," $3,000.00 ",installation of masport r1500 w/s freestanding woodburner.
5616,Wellington,Kapiti,25-May-17,170360,8 The Parade Paekakariki ,8 The Parade,Paekakariki,,,," $5,000.00 ",installation of a freestanding firenzo encore woodburner
5617,Wellington,Kapiti,25-May-17,170341,339 Taylors Road Otaki ,339 Taylors Road,Otaki,,,," $1,000.00 ",installation of a woodsman brunner mk2 woodburner
5620,Wellington,Kapiti,26-May-17,170348,146 School Road Te Horo ,146 School Road,Te Horo,,,," $10,000.00 ",installation of a freestanding wagener sparky woodburner & studio warmington woodburner.
5621,Wellington,Kapiti,26-May-17,170344,48 Te Moana Road Waikanae ,48 Te Moana Road,Waikanae,,,," $5,000.00 ",installation of pyroclassic woodburner.
5622,Wellington,Kapiti,26-May-17,170375,147 Weggery Drive Waikanae Beach ,147 Weggery Drive,Waikanae Beach,,,," $5,000.00 ",installation of firenzo encore freestanding woodburner.
5623,Wellington,Kapiti,26-May-17,170367,8 Goldie Place Waikanae ,8 Goldie Place,Waikanae,,,," $4,000.00 ",installation of a new woodsman ecr novo woodfire.
5624,Wellington,Kapiti,26-May-17,170366,48 Kirk Street Otaki ,48 Kirk Street,Otaki,,,," $4,000.00 ",installation of a new woodsman ecr novo woodfire.
5625,Wellington,Kapiti,26-May-17,170364,7 Tararua Crescent Otaki ,7 Tararua Crescent,Otaki,,,," $4,000.00 ",installation of a new woodsman ecr novo woodfire.
5626,Wellington,Kapiti,26-May-17,170374,6 Glen Road Raumati South ,6 Glen Road,Raumati South,,,," $3,000.00 ",installation masport i2000 inbuilt woodburner.
5627,Wellington,Kapiti,26-May-17,170365,35 Huia Street Waikanae ,35 Huia Street,Waikanae,,,," $2,000.00 ",installation of waegner sparky freestanding woodburner.
5640,Wellington,Kapiti,02-Jun-17,170387,9 Beechwood Close  Paraparaumu,9 Beechwood Close,,Paraparaumu,,," $4,000.00 ",remove old wood fire and install a new masport akaroa wood fire into the existing position.
5641,Wellington,Kapiti,02-Jun-17,170397,37 Realm Drive  Paraparaumu,37 Realm Drive,,Paraparaumu,,," $4,000.00 ",installation of masport r5000 ped freestanding woodburner.
5642,Wellington,Kapiti,02-Jun-17,170386,34 Moana Road  Paraparaumu,34 Moana Road,,Paraparaumu,,," $3,500.00 ",installation of a new metro eco smart insert wood fire into an existing masonry chimney.
5643,Wellington,Kapiti,02-Jun-17,170385,9 Temuera Street  Otaki,9 Temuera Street,,Otaki,,," $3,500.00 ",installation of a new metro r1 woodfire wall setting with a penetration of flue less than 300mm & exempt under schedule 1 of ba 2004.
5645,Wellington,Kapiti,02-Jun-17,170377,65 Donovan Road  Paraparaumu,65 Donovan Road,,Paraparaumu,,," $3,000.00 ",replacement installation yunca hobson freestanding woodburner.
5646,Wellington,Kapiti,02-Jun-17,170406,11 Merlin Court  Paraparaumu,11 Merlin Court,,Paraparaumu,,," $2,500.00 ",installation of a new woodsman flare woodfire.
5647,Wellington,Kapiti,02-Jun-17,170403,13 Sunset Terrace  Waikanae,13 Sunset Terrace,,Waikanae,,," $2,000.00 ","new wagener ""sparky"" woodburner"
5652,Wellington,Kapiti,06-Jun-17,170409,78 Alexander Road Raumati Beach ,78 Alexander Road,Raumati Beach,,,," $4,500.00 ",installation of a new metro eco trend insert woodfire into an existing masonry chimney.
5653,Wellington,Kapiti,06-Jun-17,170411,81 Atkinson Avenue Otaki ,81 Atkinson Avenue,Otaki,,,," $3,500.00 ",installation of a new woodsman brunner mk2 wood fire.
5658,Wellington,Kapiti,07-Jun-17,170493,30 Matai Road Raumati ,30 Matai Road,Raumati,,,," $4,000.00 ",installation of masport hestia freestanding woodburner
5659,Wellington,Kapiti,07-Jun-17,170489,178 Main Road South Paraparaumu ,178 Main Road South,Paraparaumu,,,," $4,000.00 ",removal of an old kent insert fire and installation of a new masport bannockburn woodfire insert
5661,Wellington,Kapiti,07-Jun-17,170492,44 Linwood Drive Paraparaumu ,44 Linwood Drive,Paraparaumu,,,," $2,500.00 ",installation of masport ri500 legs freestanding woodburner.
5680,Wellington,Kapiti,21-Jun-17,170421,4 Forest Road  Raumati South,4 Forest Road,,Raumati South,,," $3,500.00 ",installation of a new woodsman ecr novo wood fire wall setting with a roof penetration of flue less than 300mm & exempt under schedule 1 of ba 2004
5681,Wellington,Kapiti,21-Jun-17,170422,6 Amokura Street  Waikanae,6 Amokura Street,,Waikanae,,," $3,500.00 ",installation of a new metro tiny rad wood fire (wall setting) w/ a roof penetration of flue less than 300mm & exempt under schedule 1 of ba 2004.
5682,Wellington,Kapiti,21-Jun-17,170419,14 Kaka Road  Raumati Beach,14 Kaka Road,,Raumati Beach,,," $2,000.00 ",installation of a new kent kiwi rad ii woodburner into the corner of the room with a roof penetration of flue less than 300mm & exempt under schedule 1 of ba 2004.
5686,Wellington,Kapiti,22-Jun-17,170458,21 Pingau Street  Paekakariki,21 Pingau Street,,Paekakariki,,," $8,000.00 ",installation of warmington studio woodburner
5687,Wellington,Kapiti,22-Jun-17,170415,23 Rata Street  Waikanae,23 Rata Street,,Waikanae,,," $4,500.00 ",installation of yunca monte freestanding woodburner.
5688,Wellington,Kapiti,22-Jun-17,170423,44 Forest Road  Raumati South,44 Forest Road,,Raumati South,,," $4,500.00 ",installation of a new metro akaroa wood fire (wall setting) with a roof penetration of flue less than 300mm & exempt under schedule 1 of ba 2004.
5691,Wellington,Kapiti,22-Jun-17,170444,30 Matai Street  Waikanae,30 Matai Street,,Waikanae,,," $2,500.00 ",replacement installation masport r1500 w/s freestanding woodburner.
5699,Wellington,Kapiti,23-Jun-17,170445,98 Ratadale Road  Waikanae,98 Ratadale Road,,Waikanae,,," $4,000.00 ",replacement installation masport hestia freestanding woodburner.
5700,Wellington,Kapiti,23-Jun-17,170461,9 Teoti Street  Paraparaumu,9 Teoti Street,,Paraparaumu,,," $3,000.00 ",installation of masport r1500 ped freestanding woodburner.
5701,Wellington,Kapiti,23-Jun-17,170441,17 Whareroa Road  Raumati South,17 Whareroa Road,,Raumati South,,," $3,000.00 ",replacement installation masport r1500 ped freestanding woodburner.
5707,Wellington,Kapiti,27-Jun-17,170462,48 Kapanui Road Waikanae ,48 Kapanui Road,Waikanae,,,," $3,000.00 ",installation of masport r1500 leg freestanding woodburner.
5713,Wellington,Kapiti,28-Jun-17,170416,57 Field Way Waikanae Beach ,57 Field Way,Waikanae Beach,,,," $7,500.00 ",new woodburner & small external alteration to fit woodburner.
5714,Wellington,Kapiti,28-Jun-17,170477,14 Matai Street Waikanae ,14 Matai Street,Waikanae,,,," $4,000.00 ",replacement installation of jayline fr300 woodburner
5715,Wellington,Kapiti,28-Jun-17,170476,32 Horopito Road Waikanae ,32 Horopito Road,Waikanae,,,," $3,000.00 ",replace existing woodburner with jayline fr300 using existing flashing.
5717,Wellington,Kapiti,28-Jun-17,170475,23 Tongariro Street Paraparaumu ,23 Tongariro Street,Paraparaumu,,,," $3,000.00 ",installation masport i2000 inbuilt woodburner.
5718,Wellington,Kapiti,28-Jun-17,170486,48 Makarini Street Paraparaumu ,48 Makarini Street,Paraparaumu,,,," $2,500.00 ",install new free standing metro eco tiny red woodburner.
5725,Wellington,Kapiti,30-Jun-17,170420,94 Field Way Waikanae Beach ,94 Field Way,Waikanae Beach,,,," $3,000.00 ",installation of a new metro tiny rad woody wood fire into the corner of the room w/ a roof penetration of flue less than 300mm & exempt under schedule 1 of ba 2004.
5731,Wellington,Kapiti,06-Jul-17,170328,13 Dunstan Street Otaki ,13 Dunstan Street,Otaki,,,," $3,500.00 ",new metro r1 freestanding woodburner.
5732,Wellington,Kapiti,06-Jul-17,170410,39 Tennis Court Road Raumati South ,39 Tennis Court Road,Raumati South,,,," $2,500.00 ",installation of a new kent oxford woodfire to replace an existing fire.
5762,Wellington,Masterton,31-Jan-17,170022,"1 King Edward Street, Masterton  ","1 King Edward Street, Masterton",,,,," $4,500.00 ",install a freestanding metro r2 woodburner
5769,Wellington,Masterton,08-Feb-17,170024,"5 First Street, Masterton  ","5 First Street, Masterton",,,,," $30,000.00 ",repile and install masport 500 ped woodburner
5790,Wellington,Masterton,22-Feb-17,170014,"21 Casel Street, Masterton  ","21 Casel Street, Masterton",,,,," $10,000.00 ",install inbuilt athena kompact ac woodburner plus bathroom
5791,Wellington,Masterton,22-Feb-17,170039,"14 Devon Street, Masterton  ","14 Devon Street, Masterton",,,,," $4,500.00 ",replace existing woodburner with a firenzo forte ag
5793,Wellington,Masterton,22-Feb-17,170047,"34 Freyberg Street, Masterton  ","34 Freyberg Street, Masterton",,,,," $4,500.00 ",replace existing woodburner with a metro wee rad
5815,Wellington,Masterton,02-Mar-17,170062,"2 Oak Street, Masterton  ","2 Oak Street, Masterton",,,,," $4,000.00 ",installation of a woodsman totara insert wood fire
5816,Wellington,Masterton,02-Mar-17,170061,"51 Intermediate Street, Masterton  ","51 Intermediate Street, Masterton",,,,," $2,500.00 ",install a firenzo athena aqualux insert wood fire
5820,Wellington,Masterton,06-Mar-17,170037,"91 Penrose Road RD 9, Masterton  ","91 Penrose Road RD 9, Masterton",,,,," $4,500.00 ",install a freestanding masport osburn 1600 woodburner
5834,Wellington,Masterton,15-Mar-17,170071,"96 Loop Line RD 1, Masterton  ","96 Loop Line RD 1, Masterton",,,,," $5,000.00 ",install freestanding contess ru woodburner connecting to
