address
"1 Bayview Road, Charteris Bay"
"90 Matai Street West, Riccarton, Christchurch"
"96 Oxford Terrace, Christchurch Central, Christchurch"
"99 Marine Drive, Diamond Harbour"
"9B Jubilee Road, Wainui"
"10 Ross Terrace, Lyttelton"
"10 Rue Benoit, Akaroa"
"10 Rue Cachalot, Akaroa"
"10 Rue Grehan, Akaroa"
"10 Rue Lavaud, Akaroa"
"10 Rue Renard, Akaroa"
"10 Rue de la Mer, Le Bons Bay"
"10 Seaview Lane, Wainui"
"10 Selwyn Avenue, Akaroa"
"10 Selwyn Parade, Lyttelton"
"10 Selwyn Road, Lyttelton"
"10 Settlers Hill, Akaroa"
"10 Seven Mile Road, Belfast, Christchurch"
"10 Sir James Wattie Drive, Hornby South, Christchurch"
"10 Stanley Place, Akaroa"
"10 Takamatua Bay Road, Takamatua"
"10 Takamatua Beach Road, Takamatua"
"10 Takutai Place, Diamond Harbour"
"10 Taramea Place, Addington, Christchurch"
"10 Tau Crescent, Diamond Harbour"
"10 Te Ra Crescent, Diamond Harbour"
"10 Te Wharau Lane, Charteris Bay"
"10 Ticehurst Terrace, Lyttelton"
"10 Tirohanga Terrace, Akaroa"
"10 Watson Street, Akaroa"
"10 Winchester Street, Lyttelton"
"10/118 Salisbury Street, Christchurch Central, Christchurch"
"10/126 Nursery Road, Linwood, Christchurch"
"100 Governors Bay Teddington Road, Allandale"
"100 Grays Road, Yaldhurst, Christchurch"
"100 Holmes Bay Valley Road, Pigeon Bay"
"100 Main Road, Governors Bay"
"100 Major Hornbrook Road, Mount Pleasant, Christchurch"
"100 Norwich Quay, Lyttelton"
"100 Purau Port Levy Road, Purau"
"100 Purchas Street, Edgeware, Christchurch"
"100 Putiki Road, Port Levy"
"101 Lincoln Road, Addington, Christchurch"
"101 Waterloo Road, Hornby, Christchurch"
"101 Western Valley Road, Little River"
"102 Creyke Road, Ilam, Christchurch"
"102 Hoani Street, Northcote, Christchurch"
"102 Holmes Bay Valley Road, Pigeon Bay"
"102 Rue Jolie, Akaroa"
"102 Western Valley Road, Little River"
"103 Marine Drive, Diamond Harbour"
"103 Richfield Road, Port Levy"
"103 Rue Jolie, Akaroa"
"103 Whites Road, Little River"
"104 Cressy Terrace, Corsair Bay, Lyttelton"
"104 Western Valley Road, Little River"
"105 Beresford Street, New Brighton, Christchurch"
"105 Marine Drive, Diamond Harbour"
"105 Wairewa Pa Road, Little River"
"105 Western Valley Road, Little River"
"1051A Dyers Pass Road, Governors Bay"
"1054 Chorlton Road, Little Akaloa"
"106 Major Hornbrook Road, Mount Pleasant, Christchurch"
"106 Marine Drive, Diamond Harbour"
"106 Middle Road, Pigeon Bay"
"107 Lichfield Street, Christchurch Central, Christchurch"
"107 Lushingtons Bay Road, Takamatua"
"107 Marine Drive, Diamond Harbour"
"107 McQueens Valley Road, Gebbies Valley"
"107 Middle Road, Pigeon Bay"
"107 Poranui Beach Road, Little River"
"108 Heaton Street, Strowan, Christchurch"
"108 Major Hornbrook Road, Mount Pleasant, Christchurch"
"109 Beach Road, Akaroa"
"109 Marine Drive, Diamond Harbour"
"109 Winchester Street, Merivale, Christchurch"
"10A Bridle Path, Lyttelton"
"11 Bayview Crescent, Duvauchelle"
"11 Bayview Place, Cass Bay, Lyttelton"
"11 Bellbird Lane, Takamatua"
"11 Bridle Path, Lyttelton"
"11 Brittan Terrace, Lyttelton"
"11 Bruce Terrace, Akaroa"
"11 Chorlton Road, Okains Bay"
"11 Church Lane, Allandale"
"11 Church Road, Little River"
"11 Coleridge Terrace, Lyttelton"
"11 College Road, Lyttelton"
"11 Cornwall Road, Lyttelton"
"11 Cresselly Place, Saint Martins, Christchurch"
"11 Cresswell Avenue, Governors Bay"
"11 Cressy Terrace, Lyttelton"
"11 Crohane Place, Addington, Christchurch"
"11 Duvauchelle School Lane, Duvauchelle"
"11 Exeter Street, Merivale, Christchurch"
"11 Fantail Lane, Takamatua"
"11 Foster Terrace, Lyttelton"
"11 Harmans Road, Lyttelton"
"11 Hawkhurst Road, Lyttelton"
"11 Hay's Rise, Governors Bay"
"11 Haywards Lane, Duvauchelle"
"11 Hillview Road, Birdlings Flat"
"11 Kaioruru Lane, Charteris Bay"
"11 Kanuka Place, Robinsons Bay"
"11 Kingfisher Road, Takamatua"
"11 Korora Tahi Road, Rapaki"
"11 Kotlowski Road, Takamatua"
"11 Kowhai Grove, Akaroa"
"11 Lake Terrace Road, Little River"
"11 Le Bons Valley Road, Le Bons Bay"
"11 Leinster Road, Strowan, Christchurch"
"11 Lighthouse Lane, Governors Bay"
"11 Lighthouse Road, Akaroa"
"11 Liverpool Street, Christchurch Central, Christchurch"
"11 Lushingtons Bay Road, Takamatua"
"11 Mariners Cove, Cass Bay, Lyttelton"
"11 Muter Street, Akaroa"
"11 Ngaio Lane, Charteris Bay"
"11 Ngatea Road, Diamond Harbour"
"11 Patiki Place, Diamond Harbour"
"11 Pawsons Valley Road, Duvauchelle"
"11 Penn Place, Upper Riccarton, Christchurch"
"11 Purau Avenue, Diamond Harbour"
"11 Purau Port Levy Road, Purau"
"11 Putiki Road, Port Levy"
"11 Ranui Crescent, Diamond Harbour"
"11 Rastrick Street, Merivale, Christchurch"
"11 Ripon Street, Lyttelton"
"11 Rue Benoit, Akaroa"
"11 Rue Cachalot, Akaroa"
"11 Rue Grehan, Akaroa"
"11 Rue Lavaud, Akaroa"
"11 Rue Noyer, Akaroa"
"11 Rue Renard, Akaroa"
"11 Rue de Malmanche, Akaroa"
"11 Rue de la Mer, Le Bons Bay"
"11 Seaview Avenue, Akaroa"
"11 Seaview Lane, Wainui"
"11 Selwyn Avenue, Akaroa"
"11 Selwyn Road, Lyttelton"
"11 Settlers Hill, Akaroa"
"11 Seven Mile Road, Belfast, Christchurch"
"11 Stanley Place, Akaroa"
"11 Stoddart Terrace, Diamond Harbour"
"11 Takutai Place, Diamond Harbour"
"11 Te Papau Crescent, Diamond Harbour"
"11 Te Ra Crescent, Diamond Harbour"
"11 Te Wharau Lane, Charteris Bay"
"11 Tirohanga Terrace, Akaroa"
"11 Tizzards Road, Robinsons Bay"
"11 Vangioni Lane, Akaroa"
"11 Waipapa Avenue, Diamond Harbour"
"11 Wairewa Pa Road, Little River"
"11 Walkers Road, Lyttelton"
"11 Warnerville Road, Wainui"
"11 Watson Street, Akaroa"
"11 Wilmers Road, Hornby, Christchurch"
"11 Winchester Street, Lyttelton"
"11/118 Salisbury Street, Christchurch Central, Christchurch"
"11/126 Nursery Road, Linwood, Christchurch"
"110 Bayview Road, Charteris Bay"
"110 Long Lookout Road, Little Akaloa"
"110 McHales Road, Little Akaloa"
"110 Middle Road, Pigeon Bay"
"111 Lushingtons Bay Road, Takamatua"
"111 Moores Road, French Farm"
"111 Poranui Beach Road, Little River"
"111 Puaha Road, Little River"
"111 Tuam Street, Christchurch Central, Christchurch"
"112 Marine Drive, Diamond Harbour"
"112 Moores Road, French Farm"
"112 Mowbray Street, Waltham, Christchurch"
"113 Bishop Street, St Albans, Christchurch"
"113 Lichfield Street, Christchurch Central, Christchurch"
"113 Tuam Street, Christchurch Central, Christchurch"
"1137 Okains Bay Road, Okains Bay"
"114 Marine Drive, Diamond Harbour"
"114 McQueens Valley Road, Gebbies Valley"
"115 Marine Drive, Diamond Harbour"
"115 Suva Street, Upper Riccarton, Christchurch"
"116 Puaha Road, Little River"
"116 Purau Port Levy Road, Purau"
"116 Rue Jolie, Akaroa"
"116 Winchester Street, Merivale, Christchurch"
"117 Western Valley Road, Little River"
"118 Marine Drive, Diamond Harbour"
"118 Pipers Valley Road, Duvauchelle"
"118 Rue Jolie, Akaroa"
"118 Wharf Road, Pigeon Bay"
"118 Wordsworth Street, Sydenham, Christchurch"
"119 Lichfield Street, Christchurch Central, Christchurch"
"119 Marine Drive, Diamond Harbour"
"119 Marshs Road, Templeton, Christchurch"
"119 Moores Road, French Farm"
"11A Purau Port Levy Road, Purau"
"11A Winchester Street, Lyttelton"
"12 Barclays Road, Little River"
"12 Bay Heights, Governors Bay"
"12 Bayview Crescent, Duvauchelle"
"12 Bayview Place, Cass Bay, Lyttelton"
"12 Bayview Road, Charteris Bay"
"12 Bells Road, Takamatua"
"12 Bridle Path, Lyttelton"
"12 Bruce Terrace, Akaroa"
"12 Canterbury Street, Lyttelton"
"12 Cornwall Road, Lyttelton"
"12 Cressy Terrace, Lyttelton"
"12 Exeter Street, Merivale, Christchurch"
"12 Foster Terrace, Lyttelton"
"12 Freyberg Avenue, Riccarton, Christchurch"
"12 Hawkhurst Road, Lyttelton"
"12 Hay's Rise, Governors Bay"
"12 Haywards Lane, Duvauchelle"
"131 Stony Bay Road, Akaroa"
"132 Manchester Street, Christchurch Central, Christchurch"
"132 Marine Drive, Diamond Harbour"
"132 Rue Jolie, Akaroa"
"133 Corsair Drive, Wigram, Christchurch"
"133 Poranui Beach Road, Little River"
"134 Le Bons Valley Road, Le Bons Bay"
"134 Marine Drive, Diamond Harbour"
"134 Montgomerys Road, Little River"
"135 Bossu Road, Wainui"
"135 Claridges Road, Casebrook, Christchurch"
"135 Hereford Street, Christchurch Central, Christchurch"
"135 High Street, Christchurch Central, Christchurch"
"135 Leinster Road, Strowan, Christchurch"
"135 Poranui Beach Road, Little River"
"136 Marine Drive, Diamond Harbour"
"136 Putiki Road, Port Levy"
"136 Worcester Street, Christchurch Central, Christchurch"
"137 Hereford Street, Christchurch Central, Christchurch"
"139 Heaton Street, Strowan, Christchurch"
"139 Hereford Street, Christchurch Central, Christchurch"
"139 Lichfield Street, Christchurch Central, Christchurch"
"139 Mairehau Road, Marshland, Christchurch"
"139 Marine Drive, Diamond Harbour"
"13A Clyde Road, Upper Riccarton, Christchurch"
"13A College Road, Lyttelton"
"14 Bayview Place, Cass Bay, Lyttelton"
"14 Bayview Road, Charteris Bay"
"14 Brittan Terrace, Lyttelton"
"14 Buxtons Road, Lyttelton"
"14 Camp Bay Road, Purau"
"14 Canterbury Street, Lyttelton"
"14 Cashin Quay, Lyttelton"
"14 Cornwall Street, St Albans, Christchurch"
"14 Cotswold Avenue, Bishopdale, Christchurch"
"14 Cressy Terrace, Lyttelton"
"14 Foster Terrace, Lyttelton"
"14 Hay's Rise, Governors Bay"
"14 Haywards Lane, Duvauchelle"
"14 Koromiko Crescent, Diamond Harbour"
"14 Kotare Lane, Takamatua"
"14 Kowhai Grove, Akaroa"
"14 Manuka Terrace, Duvauchelle"
"14 Marine Drive, Diamond Harbour"
"14 Mariners Cove, Cass Bay, Lyttelton"
"14 Mathesons Road, Phillipstown, Christchurch"
"14 Matipo Street, Riccarton, Christchurch"
"14 Maunsell Street, Woolston, Christchurch"
"14 Merivale Lane, Merivale, Christchurch"
"14 Merrin Street, Avonhead, Christchurch"
"14 Monarch Drive, Robinsons Bay"
"14 Ngaio Lane, Charteris Bay"
"14 Ngatea Road, Diamond Harbour"
"14 Otamuhua Lane, Diamond Harbour"
"14 Patiki Place, Diamond Harbour"
"14 Pawsons Valley Road, Duvauchelle"
"14 Percy Street, Akaroa"
"14 Purau Avenue, Diamond Harbour"
"14 Purau Port Levy Road, Purau"
"14 Putiki Road, Port Levy"
"14 Ranui Crescent, Diamond Harbour"
"14 Rawhiti Street, Diamond Harbour"
"14 Rue Benoit, Akaroa"
"14 Rue Grehan, Akaroa"
"14 Rue Lavaud, Akaroa"
"14 Rue Renard, Akaroa"
"14 Rue de la Mer, Le Bons Bay"
"14 Selwyn Road, Lyttelton"
"14 Settlers Hill, Akaroa"
"14 Seven Mile Road, Belfast, Christchurch"
"14 Stanley Place, Akaroa"
"14 Te Papau Crescent, Diamond Harbour"
"14 Te Ra Crescent, Diamond Harbour"
"14 Te Wharau Lane, Charteris Bay"
"14 Watson Street, Akaroa"
"14 Winchester Street, Lyttelton"
"14 Wise Street, Addington, Christchurch"
"14/118 Salisbury Street, Christchurch Central, Christchurch"
"14/126 Nursery Road, Linwood, Christchurch"
"140 Bossu Road, Wainui"
"140 Purau Port Levy Road, Purau"
"141 Rue Jolie, Akaroa"
"141 Styx Mill Road, Casebrook, Christchurch"
"142 Pettigrews Road, Pigeon Bay"
"142 St Asaph Street, Christchurch Central, Christchurch"
"143 Marine Drive, Diamond Harbour"
"144 Lichfield Street, Christchurch Central, Christchurch"
"145 Beach Road, Akaroa"
"145 Marine Drive, Diamond Harbour"
"145 Poranui Beach Road, Little River"
"145 Purau Port Levy Road, Purau"
"146 Hickory Bay Road, Goughs Bay"
"146 High Street, Christchurch Central, Christchurch"
"146 Lichfield Street, Christchurch Central, Christchurch"
"146 Marine Drive, Diamond Harbour"
"146 Montgomerys Road, Little River"
"147 Marine Drive, Diamond Harbour"
"148 Leinster Road, Strowan, Christchurch"
"148 Marine Drive, Diamond Harbour"
"149 Marine Drive, Diamond Harbour"
"149 Rue Jolie, Akaroa"
"14A Rue Cachalot, Akaroa"
"14A Selwyn Avenue, Akaroa"
"14B Rue de la Mer, Le Bons Bay"
"15 Allister Avenue, Strowan, Christchurch"
"15 Bay Heights, Governors Bay"
"15 Bayview Crescent, Duvauchelle"
"15 Bayview Place, Cass Bay, Lyttelton"
"15 Bayview Road, Charteris Bay"
"15 Bridle Path, Lyttelton"
"15 Brittan Terrace, Lyttelton"
"15 Bruce Terrace, Akaroa"
"15 Cornwall Road, Lyttelton"
"15 Cressy Terrace, Lyttelton"
"15 Foster Terrace, Lyttelton"
"15 Harkess Lane, Lyttelton"
"15 Harmans Road, Lyttelton"
"15 Hawkhurst Road, Lyttelton"
"15 Korora Tahi Road, Rapaki"
"15 Leinster Road, Strowan, Christchurch"
"15 Lewthwaites Road, Little River"
"15 Lushingtons Bay Road, Takamatua"
"15 Main South Road, Sockburn, Christchurch"
"15 Mariners Cove, Cass Bay, Lyttelton"
"15 Moores Road, French Farm"
"15 Muter Street, Akaroa"
"15 Ngatea Road, Diamond Harbour"
"15 Olliviers Road, Phillipstown, Christchurch"
"15 Penn Place, Upper Riccarton, Christchurch"
"15 Percy Street, Akaroa"
"15 Purau Avenue, Diamond Harbour"
"15 Ranui Crescent, Diamond Harbour"
"15 Rawhiti Street, Diamond Harbour"
"15 Rue Benoit, Akaroa"
"15 Rue Grehan, Akaroa"
"15 Rue Lavaud, Akaroa"
"15 Rue Pompallier, Akaroa"
"15 Rue Renard, Akaroa"
"15 Rue de Malmanche, Akaroa"
"15 Rue de la Mer, Le Bons Bay"
"15 Seaview Lane, Wainui"
"15 Selwyn Road, Lyttelton"
"15 Settlers Hill, Akaroa"
"15 Seven Mile Road, Belfast, Christchurch"
"15 Sutton Quay, Lyttelton"
"15 Te Papau Crescent, Diamond Harbour"
"15 Te Ra Crescent, Diamond Harbour"
"15 Te Wharau Lane, Charteris Bay"
"15 Walnut Place, Akaroa"
"15 Warnerville Road, Wainui"
"15 Watson Street, Akaroa"
"15 Wilmers Road, Hornby, Christchurch"
"15 Winery Road, French Farm"
"15/118 Salisbury Street, Christchurch Central, Christchurch"
"15/126 Nursery Road, Linwood, Christchurch"
"150 Charteris Bay Road, Charteris Bay"
"150 Marine Drive, Diamond Harbour"
"150 Old Sumner Lyttelton Road, Lyttelton"
"150 Purple Peak Road, Akaroa"
"150 Whites Road, Little River"
"151 High Street, Christchurch Central, Christchurch"
"151 Marine Drive, Diamond Harbour"
"152 Lichfield Street, Christchurch Central, Christchurch"
"152 Marine Drive, Diamond Harbour"
"152 Pages Road, Wainoni, Christchurch"
"153 Marine Drive, Diamond Harbour"
"154 Lichfield Street, Christchurch Central, Christchurch"
"154 Marine Drive, Diamond Harbour"
"154 Montgomerys Road, Little River"
"154 Tuam Street, Christchurch Central, Christchurch"
"155 Grehan Valley Road, Akaroa"
"155 Marine Drive, Diamond Harbour"
"156 Marine Drive, Diamond Harbour"
"157 Marine Drive, Diamond Harbour"
"157 Rue Jolie, Akaroa"
"158 Manchester Street, Christchurch Central, Christchurch"
"158 Marine Drive, Diamond Harbour"
"16 Bayview Crescent, Duvauchelle"
"16 Bayview Place, Cass Bay, Lyttelton"
"16 Bayview Road, Charteris Bay"
"16 Bedford Row, Christchurch Central, Christchurch"
"16 Bridle Path, Lyttelton"
"16 Brittan Terrace, Lyttelton"
"16 Canterbury Street, Lyttelton"
"16 Cornwall Road, Lyttelton"
"175 Marine Drive, Diamond Harbour"
"175 Peterborough Street, Christchurch Central, Christchurch"
"175 Purau Avenue, Purau"
"176 Pa Road, Port Levy"
"177 Marine Drive, Diamond Harbour"
"177 Purau Avenue, Purau"
"178 Pawsons Valley Road, Duvauchelle"
"179 Marine Drive, Diamond Harbour"
"179 Peterborough Street, Christchurch Central, Christchurch"
"179 Prices Valley Road, Prices Valley"
"18 Bay Heights, Governors Bay"
"18 Bayleys Road, Birdlings Flat"
"18 Bayview Crescent, Duvauchelle"
"18 Bayview Place, Cass Bay, Lyttelton"
"18 Bayview Road, Charteris Bay"
"18 Brenchley Road, Lyttelton"
"18 Bridle Path, Lyttelton"
"18 Brittan Terrace, Lyttelton"
"18 Cashin Quay, Lyttelton"
"18 Cornwall Road, Lyttelton"
"18 Cressy Terrace, Lyttelton"
"18 Foster Terrace, Lyttelton"
"18 Harmans Road, Lyttelton"
"18 Hawkhurst Road, Lyttelton"
"18 Hay's Rise, Governors Bay"
"18 Haywards Lane, Duvauchelle"
"18 Marine Drive, Diamond Harbour"
"18 Monarch Drive, Robinsons Bay"
"18 Muter Street, Akaroa"
"18 Ngaio Lane, Charteris Bay"
"18 Ngatea Road, Diamond Harbour"
"18 Purau Port Levy Road, Purau"
"18 Rapaki Drive, Rapaki"
"18 Rawhiti Street, Diamond Harbour"
"18 Ripon Street, Lyttelton"
"18 Rue Benoit, Akaroa"
"18 Rue Grehan, Akaroa"
"18 Rue Lavaud, Akaroa"
"18 Rue de la Mer, Le Bons Bay"
"18 Selwyn Avenue, Akaroa"
"18 Settlers Hill, Akaroa"
"18 Stanley Place, Akaroa"
"18 Stoddart Terrace, Diamond Harbour"
"18 Te Wharau Lane, Charteris Bay"
"18 Ticehurst Terrace, Lyttelton"
"181 Marine Drive, Diamond Harbour"
"181 Peterborough Street, Christchurch Central, Christchurch"
"181 Purau Avenue, Purau"
"183 Cashel Street, Christchurch Central, Christchurch"
"183 Hereford Street, Christchurch Central, Christchurch"
"183 Purau Avenue, Purau"
"185 Purau Avenue, Purau"
"187 Bealey Avenue, Christchurch Central, Christchurch"
"187 Millers Road, Gebbies Valley"
"189 Colombo Street, Sydenham, Christchurch"
"18A Rue Cachalot, Akaroa"
"19 Bay Heights, Governors Bay"
"19 Bayview Crescent, Duvauchelle"
"19 Bayview Place, Cass Bay, Lyttelton"
"19 Belleview Terrace, Mount Pleasant, Christchurch"
"19 Bells Road, Takamatua"
"19 Bridle Path, Lyttelton"
"19 Brittan Terrace, Lyttelton"
"19 Bruce Terrace, Akaroa"
"19 College Road, Lyttelton"
"19 Cornwall Road, Lyttelton"
"19 Curletts Road, Sockburn, Christchurch"
"19 Days Road, Lyttelton"
"19 Forth Street, Richmond, Christchurch"
"19 Foster Terrace, Lyttelton"
"19 Harkess Lane, Lyttelton"
"19 Hawkhurst Road, Lyttelton"
"19 Kotare Lane, Takamatua"
"19 Leinster Road, Strowan, Christchurch"
"19 Mariners Cove, Cass Bay, Lyttelton"
"19 Muter Street, Akaroa"
"19 Ngatea Road, Diamond Harbour"
"19 Olliviers Road, Phillipstown, Christchurch"
"19 Pawsons Valley Road, Duvauchelle"
"19 Percy Street, Akaroa"
"19 Purau Avenue, Diamond Harbour"
"19 Purau Port Levy Road, Purau"
"19 Rapaki Drive, Rapaki"
"19 Rawhiti Street, Diamond Harbour"
"19 Ross Terrace, Lyttelton"
"19 Rue Benoit, Akaroa"
"19 Rue Grehan, Akaroa"
"19 Rue Renard, Akaroa"
"19 Rue de la Mer, Le Bons Bay"
"19 Seaview Lane, Wainui"
"19 Selwyn Avenue, Akaroa"
"19 Settlers Hill, Akaroa"
"19 Stoddart Terrace, Diamond Harbour"
"19 Te Papau Crescent, Diamond Harbour"
"19 Te Wharau Lane, Charteris Bay"
"19 Waipapa Avenue, Diamond Harbour"
"19 Walkers Road, Lyttelton"
"19 Walnut Place, Akaroa"
"19 Warnerville Road, Wainui"
"19 Watson Street, Akaroa"
"191 Beach Road, Akaroa"
"192 Awatea Road, Halswell, Christchurch"
"194 Grehan Valley Road, Akaroa"
"194 Montgomerys Road, Little River"
"197 Hereford Street, Christchurch Central, Christchurch"
"198 Milton Street, Sydenham, Christchurch"
"2 Bayview Crescent, Duvauchelle"
"2 Bayview Place, Cass Bay, Lyttelton"
"2 Brookford Place, Westmorland, Christchurch"
"2 Camp Bay Road, Purau"
"2 Cass Bay Place, Cass Bay, Lyttelton"
"2 Church Street, Akaroa"
"2 College Place, Lyttelton"
"2 Cressy Terrace, Lyttelton"
"2 Haywards Lane, Duvauchelle"
"2 Hyllton Heights, Lyttelton"
"2 Kaioruru Lane, Charteris Bay"
"2 Korora Tahi Road, Rapaki"
"2 Marine Drive, Diamond Harbour"
"2 Marley View Street, Somerfield, Christchurch"
"2 Montana Avenue, Ilam, Christchurch"
"2 Ngaio Lane, Charteris Bay"
"2 Ngatea Road, Diamond Harbour"
"2 Norwich Quay, Lyttelton"
"2 Ranui Crescent, Diamond Harbour"
"2 Ross Terrace, Lyttelton"
"2 Rue Cachalot, Akaroa"
"2 Rue Grehan, Akaroa"
"2 Rue Lavaud, Akaroa"
"2 Rue Renard, Akaroa"
"2 Seaview Terrace, Lyttelton"
"2 Selwyn Lane, Lyttelton"
"2 Selwyn Parade, Lyttelton"
"2 Selwyn Road, Lyttelton"
"2 Shadbolts Road, Pigeon Bay"
"2 Takamatua Beach Road, Takamatua"
"2 Waipapa Avenue, Diamond Harbour"
"2 Walnut Place, Akaroa"
