,region,council,date_issued,council_ref,location_street,location_suburb,location_area, Location_Postcode ,legal_description,val_number,consent_value,description
8888,Canterbury,Christchurch,05-Feb-19,CBCN/2019/496,9 Kinver Place,Spreydon,Christchurch,  ,Lot 9 DP 25140,,5000,"alteration to dwelling - installation of metro wee rad ultra, freestanding, dry, woodburner, cac191262"
8889,Canterbury,Christchurch,05-Feb-19,CBCN/2019/377,34 Stanbury Avenue,Spreydon,Christchurch,  ,Lot 92 DP 20497,,5000,alteration to dwelling - installation of a masport cromwell (uleb) dry freestanding woodburner - cac176374
8903,Canterbury,Christchurch,07-Feb-19,CBCN/2019/434,160 Main Road,Governors Bay,Christchurch,  ,Lot 1 DP 53086,,6000,"alteration to dwelling - installation of warmington s1900, insert, dry, woodburner"
8905,Canterbury,Christchurch,07-Feb-19,CBCN/2018/7260,51 Marine Drive,Diamond Harbour,Christchurch,  ,Lot 15 DP 9607,,80000,"addition and alteration to dwelling - bathroom converted to ensuite, extension of bedroom one and decking, addition of study, bedroom and bathroom, location change of internal stairs and installation of pyroclassic iv, free-standing, dry, woodburner, cac-"
8915,Canterbury,Christchurch,08-Feb-19,CBCN/2019/623,93 Denise Crescent,Hornby,Christchurch,  ,Lot 14 DP 30537,,5000,"alteration to dwelling - installation of metro, wee rad ultra, freestanding, dry woodburner - cac191262"
8916,Canterbury,Christchurch,08-Feb-19,CBCN/2019/586,194 Woodham Road,North Linwood,Christchurch,  ,Lot 2 DP 18690,,5000,"alteration to dwelling - installation of jayline ul200, freestanding, dry woodburner cac-183251"
8917,Canterbury,Christchurch,08-Feb-19,CBCN/2019/523,12 Hendon Street,St Albans,Christchurch,  ,Pt Lot 46 DP 475,,5000,"alteration to dwelling - installation of masport mystique, freestanding, dry, woodburner cac165858"
8918,Canterbury,Christchurch,08-Feb-19,CBCN/2019/173,34 Hargood Street,Woolston,Christchurch,  ,Lot 3 DP 18246,,6500,"alteration to dwelling - installation of metro wee rad ultra, freestanding, dry, woodburner, cac191262"
8919,Canterbury,Christchurch,08-Feb-19,CBCN/2019/713,10 Olliviers Road,Linwood,Christchurch,  ,Pt Res 84 Christchurch Town,,6500,"alteration to dwelling - installation of a tropicair rua, freestanding dry woodburner, cac185998"
8928,Canterbury,Christchurch,11-Feb-19,CBCN/2011/31/A,44 Bayview Road,Diamond Harbour,Christchurch,  ,"Lots 6,7,8 Dp 19346",,100,"amendment 1 - change of gas fire and log burners, foul water and water main"
8929,Canterbury,Christchurch,11-Feb-19,CBCN/2019/727,3 Kestrel Place,Woolston,Christchurch,  ,Lot 9 Dp 72005,,5000,"alteration to dwelling - installation of woodsman ferva uleb, freestanding, dry, woodburner, cac169888"
8930,Canterbury,Christchurch,11-Feb-19,CBCN/2019/642,5 Bencard Place,Hoon Hay,Christchurch,  ,Lot 2 Dp 26019,,6500,"alteration to dwelling - installation of harris ferva saturn, freestanding, dry, woodburner  cac169888"
8931,Canterbury,Christchurch,11-Feb-19,CBCN/2019/647,11 Earl Street,Opawa,Christchurch,  ,Lot 2 Dp 12551,,6500,"alteration to dwelling - installation of wh harris ferva saturn, freestanding, dry, woodburner, cac169888"
8932,Canterbury,Christchurch,11-Feb-19,CBCN/2019/142,20 Riverton Terrace,Westlake,Christchurch,  ,Lot 30 Dp 67702,,70000,"alterations to dwelling - re-cladding - repair foundations - installation of metro eco mega smart, insert, dry, woodburner, cac102411"
8935,Canterbury,Christchurch,11-Feb-19,CBCN/2019/105,40 Jervois Street,South New Brighton,Christchurch,  ,Lot 4 Dp 45939,,250000,"construction of a dwelling - installation of ferva saturn, freestanding, dry, woodburner, cac1698888"
8945,Canterbury,Christchurch,12-Feb-19,CBCN/2018/8696,35 St James Avenue,Papanui,Christchurch,  ,Lot 16 Dp 8558,,2900,"alteration to dwelling - installation of a masport heartland, freestanding, dry woodburner, cac163230"
8946,Canterbury,Christchurch,12-Feb-19,CBCN/2019/722,53 Cygnet Street,North New Brighton,Christchurch,  ,Pt Lot 24 Dp 6009,,5000,"alteration to dwelling - installation of metro wee rad, freestanding, woodburner, dry, cac191262"
8947,Canterbury,Christchurch,12-Feb-19,CBCN/2019/729,58 Rue Balguerie,Akaroa,Christchurch,  ,Lot 2 Dp 49696,,5000,"alteration to dwelling - installation of masport r1500ws, freestanding, dry, woodburner, cac121119"
8948,Canterbury,Christchurch,12-Feb-19,CBCN/2019/678,44 Norrie Street,Redwood,Christchurch,  ,Lot 22 Dp 24406,,6500,"alteration to dwelling - installation of a tropicair duo, freestanding dry woodburner - cac164316"
8956,Canterbury,Christchurch,12-Feb-19,CBCN/2018/7765,31 Long Acre Drive,Cracroft,Christchurch,  ,Lot 25 Dp 515978,,500000,"construction of dwelling with attached garage and installation of harris ferva saturn, freestanding, dry, woodburner, cac- 169888 - lot 25"
8958,Canterbury,Christchurch,12-Feb-19,CBCN/2018/8049,2/6 Erewhon Terrace,St Martins,Christchurch,  ,Flat 2 Dp 73392 On Lot 1 Dp 47344 Having Share In 1303 M2,,650000,"construction of a dwelling with attached garage - installation of jayline ul200, freestanding, dry, woodburner, cac 183251"
8959,Canterbury,Christchurch,12-Feb-19,CBCN/2018/5948,28 Marama Crescent,St Andrews Hill,Christchurch,  ,Lot 39 Dp 11358,,750000,"construction of dwelling with attached garage. installation of rais bionic fire studio, freestanding, dry woodburner cac 166197"
8963,Canterbury,Christchurch,13-Feb-19,CBCN/2018/8654,24 Ranui Crescent,Diamond Harbour,Christchurch,  ,Lot 47 Dp 14743,,150000,"addition and alteration to dwelling with attached garage - addition of first floor deck, ground floor shower room, driveway retaining wall, internal layout change and installation of metro wee rad base, freestanding, dry, woodburner, cac-152162"
8970,Canterbury,Christchurch,14-Feb-19,CBCN/2013/5714/B,335 Worsleys Road,Cracroft,Christchurch,  ,Lot 2 Dp 410631,,100,"amendment 2 - changes to wall, floor and foundation construction and installation of tropicair duo, freestanding, wet, woodburner, cac165314 and removal of swimming pool and two outbuildings"
8974,Canterbury,Christchurch,14-Feb-19,CBCN/2019/775,3347 Christchurch Akaroa Road,Little River,Christchurch,  ,Lot 1 Dp 413906,,4000,"alteration to dwelling - installation of a metro ltd xtreme rad, freestanding, dry, woodburner - rural"
8975,Canterbury,Christchurch,14-Feb-19,CBCN/2019/816,80 Whincops Road,Halswell,Christchurch,  ,Lot 1 Dp 67573,,4500,"alteration to dwelling - installation of a  ravelli rosa r70, freestanding dry woodburner, cac174364"
8976,Canterbury,Christchurch,14-Feb-19,CBCN/2019/813,15 Purakanui Place,Belfast,Christchurch,  ,Lot 2 Dp 50818,,4500,"alteration to dwelling - installation of a ravelli rosa r70, freestanding dry woodburner, cac174364"
8979,Canterbury,Christchurch,14-Feb-19,CBCN/2019/203,111A Western Valley Road,Little River,Christchurch,  ,"Lots 1,13 Dp 341202",,160000,"construction of dwelling and installation of metro wee rad, freestanding, wetback, woodburner, cac130816"
8988,Canterbury,Christchurch,15-Feb-19,CBCN/2019/828,372 Halswell Road,Halswell,Christchurch,  ,Lot 3 Dp 25091,,4500,"alteration to dwelling - installation of a blaze king sirocco sc30p, freestanding dry woodburner, cac181242"
8989,Canterbury,Christchurch,15-Feb-19,CBCN/2019/668,42 Hempleman Drive,Akaroa,Christchurch,  ,Lot 41 Dp 34984,,5500,"alteration to dwelling - installation of metro mega rad, freestanding, dry, woodburner cac156727"
8990,Canterbury,Christchurch,15-Feb-19,CBCN/2019/406,7 Alpha Avenue,Papanui,Christchurch,  ,Lot 3 Dp 11304,,6000,alteration to dwelling - installation of metro wee rad ultra (uleb) dry freestanding woodburner - cac191262
9004,Canterbury,Christchurch,18-Feb-19,CBCN/2019/490,44 Cavendish Road,Northcote,Christchurch,  ,Lot 1 DP 70284,,7000,alteration to dwelling - installation of a masport cromwell (uleb) dry freestanding woodburner - cac176374
9005,Canterbury,Christchurch,18-Feb-19,CBCN/2019/693,31 York Street,Opawa,Christchurch,  ,Pt RS 48A Canterbury Dist,,10000,"alteration to dwelling - installation of masport cromwell, freestanding, dry, woodburner, cac176374"
9013,Canterbury,Christchurch,18-Feb-19,CBCN/2018/8744,7 Willis Place,Spreydon,Christchurch,  ,Lot 3 DP 13489,,100000,"addition and alteration to dwelling - living area extension - installation of ferva saturn, freestanding, dry, woodburner, cac169888"
9021,Canterbury,Christchurch,18-Feb-19,CBCN/2018/7199,180 Huntsbury Avenue,Huntsbury,Christchurch,  ,Lot 48 DP 336201,,1225000,construction of dwelling with attached garage and installation of jetmaster 700d woodburner and jetmaster alfresco outdoor woodfire
9025,Canterbury,Christchurch,19-Feb-19,CBCN/2019/863,25 Flay Crescent,Burnside,Christchurch,  ,Lot 103 DP 20130,,4500,"alteration to dwelling - installation of metro wee rad ultra, freestanding, dry woodburner cac191262"
9026,Canterbury,Christchurch,19-Feb-19,CBCN/2019/251,45 Landsdowne Terrace,Cashmere,Christchurch,  ,Lot 6 DP 23550,,5000,"alteration to dwelling - installation of tropicair rua, freestanding, dry, woodburner, cac185998"
9027,Canterbury,Christchurch,19-Feb-19,CBCN/2019/906,46 Cumnor Terrace,Woolston,Christchurch,  ,Lot 146 DP 603,,6000,"alteration to dwelling - installation of tropicair rua, freestanding, dry, woodburner cac185998"
9028,Canterbury,Christchurch,19-Feb-19,CBCN/2019/307,870 Wainui Main Road,Wainui,Christchurch,  ,Lot 1 DP 24031,,10000,"alteration to dwelling - installation of woodsman tarras dry mk111, freestanding, dry, woodburner cac143492"
9039,Canterbury,Christchurch,20-Feb-19,CBCN/2018/8141/A,11 Leda Place,North New Brighton,Christchurch,  ,Lot 40 DP 29518,,100,amendment 1 - change to location of woodburner
9040,Canterbury,Christchurch,20-Feb-19,CBCN/2019/907,44 Dyers Pass Road,Cashmere,Christchurch,  ,"Lots 1,2 DP 20505",,7000,"alteration to dwelling - installation of a tropicair rua, freestanding dry woodburner, cac185998"
9051,Canterbury,Christchurch,21-Feb-19,CBCN/2019/1003,26 Flavell Street,Heathcote,Christchurch,  ,Lot 4 DP 5174,,4500,"alteration to dwelling - installation of a raveli monica, freestanding dry woodburner, cac102844"
9052,Canterbury,Christchurch,21-Feb-19,CBCN/2019/998,1/14 Trent Street,Linwood,Christchurch,  ,Flat 1 DP 59303 on Lot 1 DP 49615 having share in 1301 m2,,4500,"alteration to dwelling - installation of a blaze king sirocco sc30l, freestanding dry woodburner, cac181245"
9063,Canterbury,Christchurch,22-Feb-19,CBCN/2019/888,45 Tikao Bay Road,Wainui,Christchurch,  ,Lot 10 DP 45004,,4000,"alteration to dwelling - installation of metro eco tiny rad, freestanding, dry, woodburner, cac072605"
9064,Canterbury,Christchurch,22-Feb-19,CBCN/2019/1066,58 St Davids Street,Lyttelton,Christchurch,  ,Lot 5 DP 1487,,4500,"alteration to dwelling - installation of a pryoclassic mini,freestanding , dry, wood burner cac 174996"
9065,Canterbury,Christchurch,22-Feb-19,CBCN/2019/1079,4 Armour Place,Halswell,Christchurch,  ,Lot 7 DP 332789,,4500,"alteration to dwelling  - installation of a  blaze king sirocco sc30p, freestanding, dry wood burner, cac 181242"
9066,Canterbury,Christchurch,22-Feb-19,CBCN/2019/1082,80 Mersey Street,St Albans,Christchurch,  ,Lot 16 DP 3248,,4500,"alteration to dwelling - installation of a blaze king sirocco sc30l, freestanding dry woodburner, cac181245"
9068,Canterbury,Christchurch,22-Feb-19,CBCN/2019/1054,69 Proctor Street,Papanui,Christchurch,  ,Pt RS 304 Canterbury Dist,,7600,"alteration to dwelling - installation of tropicair duo, freestanding, dry, woodburner cac164316"
9081,Canterbury,Christchurch,25-Feb-19,CBCN/2018/8352,29 Briggs Road,Shirley,Christchurch,  ,Lot 1 DP 18605,,5000,"alteration to dwelling - installation of tropicair duo, freestanding, dry, woodburner cac164316"
9082,Canterbury,Christchurch,25-Feb-19,CBCN/2019/705,11 Penelope Place,Northcote,Christchurch,  ,Lot 11 DP 26768,,5000,"alteration to dwelling - installation of metro wee rad ultra, freestanding, dry, woodburner cac191262"
9083,Canterbury,Christchurch,25-Feb-19,CBCN/2019/943,40 Vogel Street,Richmond,Christchurch,  ,Lot 7 DP 9037,,6000,"alteration to dwelling - installation of masport cromwell, freestanding, dry, woodburner, cac176374"
9089,Canterbury,Christchurch,25-Feb-19,CBCN/2018/8512,9 Caldberg Close,Westmorland,Christchurch,  ,Lot 131 DP 482377,,500000,"construction of dwelling with attached garage, swimming pool and installation of blaze king sirocco sc30p, freestanding dry woodburner - cac181242"
9090,Canterbury,Christchurch,25-Feb-19,CBCN/2018/8634,26 the Terrace,Governors Bay,Christchurch,  ,Lot 26 DP 372956,,540000,"construction of dwelling and installation of metro ambie plus, freestanding, dry, woodburner, cac120835"
9094,Canterbury,Christchurch,26-Feb-19,CBCN/2019/893,45 Maunsell Street,Woolston,Christchurch,  ,Lot 1 DP 39670,,5000,"alteration to garage/workshop - installation of a  masport cromwell, freestanding, dry, woodburner, cac-176374"
9108,Canterbury,Christchurch,27-Feb-19,CBCN/2019/910,18 Erica Street,Papanui,Christchurch,  ,Lot 19 DP 23130,,4500,"alteration to dwelling - installation of a ravelli rosa r70, freestanding dry woodburner, cac174364"
9109,Canterbury,Christchurch,27-Feb-19,CBCN/2019/1188,17 Croftwood Lane,Bishopdale,Christchurch,  ,Lot 15 DP 302072,,4500,"alteration to dwelling - installation of a blaze king sirocco sc30l, freestanding dry woodburner, cac181245"
9110,Canterbury,Christchurch,27-Feb-19,CBCN/2019/946,1/140 Somerfield Street,Somerfield,Christchurch,  ,Lot 2 DP 48382,,6000,"alteration to two attached dwellings - installation of jayline ul200, freestanding, dry, wood burners, cac 183251 (unit 1 and 2)"
9111,Canterbury,Christchurch,27-Feb-19,CBCN/2019/948,49 Mooray Avenue,Bishopdale,Christchurch,  ,Lot 294 DP 22117,,6000,"alteration to dwelling - installation of a ayline ul200, freestanding, dry, woodburners, cac 183251"
9112,Canterbury,Christchurch,27-Feb-19,CBCN/2018/8689,28 Station Road,Heathcote,Christchurch,  ,"Lot 8 DP 14477, Lot 2 DP 62687",,30000,"relocate dwelling - foundations, drainage and installation of metro wee rad ultra, freestanding dry woodburner, cac191262"
9120,Canterbury,Christchurch,28-Feb-19,CBCN/2019/1145,2 Armilla Lane,Riccarton Park,Christchurch,  ,Lot 47 DP 43118,,100,"alteration to dwelling - installation of metro wee rad ultra, freestanding dry woodburner cac191262"
9122,Canterbury,Christchurch,28-Feb-19,CBCN/2019/1205,68 Wychbury Street,Spreydon,Christchurch,  ,Lot 4 DP 300863,,4500,"alteration to dwelling - installation of a blaze king sirocco sc30l, freestanding dry woodburner, cac181245"
9123,Canterbury,Christchurch,28-Feb-19,CBCN/2019/778,32 Golf Links Road,Shirley,Christchurch,  ,Lot 2 DP 21590,,5000,"alteration to dwelling - installation of a tropicair rua, freestanding, dry, woodburner cac185998"
9126,Canterbury,Christchurch,28-Feb-19,CBCN/2019/959,7 Pine Avenue,Brooklands,Christchurch,  ,Sec 1 SO 13433,,5000,"alteration to dwelling - installation of harris ferva saturn, freestanding, dry, woodburner, cac 169888"
9127,Canterbury,Christchurch,28-Feb-19,CBCN/2019/1104,14 Ashcroft Place,Burnside,Christchurch,  ,Lot 38 DP 21975,,6000,"alteration to dwelling - installation of a masport mystique, freestanding dry woodburner - cac165858"
9140,Canterbury,Christchurch,01-Mar-19,CBCN/2019/1150,7B Magenta Place,Broomfield,Christchurch,  ,Lot 3 DP 40836,,5000,"alteration to dwelling - installation of jayline ul200, freestanding, dry, woodburner, cac183251"
9148,Canterbury,Christchurch,04-Mar-19,CBCN/2019/1023,81 Memorial Avenue,Ilam,Christchurch,  ,Lot 2 Dp 13796,,3500,"alteration to dwelling - installation of metro wee rad ultra, freestanding, dry, woodburner, cac191262"
9149,Canterbury,Christchurch,04-Mar-19,CBCN/2019/1190,75 Port Levy - Pigeon Bay Road,Pigeon Bay,Christchurch,  ,Lot 1 Dp 45918,,5000,"alteration to dwelling - installation of a metro ltd xtreme rad woody, freestanding dry woodburner- rural"
9150,Canterbury,Christchurch,04-Mar-19,CBCN/2019/1077,2 Medbury Terrace,Fendalton,Christchurch,  ,Lot 1 Dp 15877,,6000,"alteration to dwelling - installation of masport mystique, freestanding, dry, woodburner, cac165858"
9151,Canterbury,Christchurch,04-Mar-19,CBCN/2019/1278,39 Raleigh Street,Bishopdale,Christchurch,  ,Lot 898 Dp 22942,,7500,"alteration to dwelling - installation of tropicair duo, freestanding, dry, woodburner cac164316"
9170,Canterbury,Christchurch,05-Mar-19,CBCN/2019/1204,32 Fern Drive,Oaklands,Christchurch,  ,Lot 15 Dp 28320,,1000,"alteraton to dwelling - installation of  masport mystique, freestanding, dry, woodburner, cac 165858"
9171,Canterbury,Christchurch,05-Mar-19,CBCN/2019/1305,61 Rowses Road,Aranui,Christchurch,  ,Lot 5 Dp 30968,,4500,"alteration to dwelling - installation of a masport cromwell, freestanding dry woodburner, cac176374"
9172,Canterbury,Christchurch,05-Mar-19,CBCN/2019/1304,3 Stanbury Avenue,Spreydon,Christchurch,  ,Lot 1 Dp 20497,,4500,"alteration to dwelling - installation of a ravelli dual 7, freestanding dry woodburner, cac183131"
9173,Canterbury,Christchurch,05-Mar-19,CBCN/2019/1112,16 Sandy Beach Road,Lyttelton,Christchurch,  ,Lot 5 Dp 27606,,5000,"alteration to dwelling - installation of metro mega rad, freestanding, dry, woodburner,  cac156727"
9174,Canterbury,Christchurch,05-Mar-19,CBCN/2019/1174,317 Lyttelton Street,Spreydon,Christchurch,  ,Lot 3 Dp 22032,,5000,"alteration to dwelling - installation of metro wee rad ultra, freestanding, dry, woodburner cac191262"
9175,Canterbury,Christchurch,05-Mar-19,CBCN/2019/1168,1 Willowview Drive,Redwood,Christchurch,  ,Lot 5 Dp 27338,,6000,"alteration to dwelling - installation of masport cromwell, freestanding, woodburner, dry, cac176409"
9176,Canterbury,Christchurch,05-Mar-19,CBCN/2019/1230,24 Salmond Street,Hoon Hay,Christchurch,  ,Lot 514 Dp 30806,,6000,"alteration to dwelling - installation of metro wee rad ultra, freestanding, dry, woodburner, cac191252"
9177,Canterbury,Christchurch,05-Mar-19,CBCN/2019/1308,6 the Terrace,Governors Bay,Christchurch,  ,Lot 12 Dp 61372,,6200,"alteration to dwelling - installation of a yunca wegj 2000 (sub1.0), freestanding dry woodburner, cac130432"
9185,Canterbury,Christchurch,06-Mar-19,CBCN/2019/1209,151 Rue Jolie,Akaroa,Christchurch,  ,Pt Rs 216 Canterbury Dist,,5000,"alteration to dwelling - installation of milan milano c/a, freestanding dry woodburner - cac110611"
9205,Canterbury,Christchurch,07-Mar-19,CBCN/2019/1373,1/140 Blighs Road,Papanui,Christchurch,  ,Flat 1 Dp 67156 On Lot 3 Dp 12345 Having Share In 1158 M2,,4500,"alteration to dwelling - installation of blaze king sirocco sc30l, frrestanding, dry, woodburner cac181245"
9206,Canterbury,Christchurch,07-Mar-19,CBCN/2019/1358,10 Niagara Street,Wainoni,Christchurch,  ,Lot 33 Dp 21640,,9000,"alteration to dwelling - installation of tropicair duo, freestanding, wet, woodburner cac165314"
9209,Canterbury,Christchurch,07-Mar-19,CBCN/2019/773,70 Coronation Street,Spreydon,Christchurch,  ,Lot 2 Dp 352217,,435280,construction of a dwelling with attached garage with metro wee rad ultra freestanding dry woodburner cac191262
9211,Canterbury,Christchurch,07-Mar-19,CBCN/2018/8787,2 Aubrey Lane,Cracroft,Christchurch,  ,Lot 16 Dp 515978,,678574,"construction of a dwelling with attached garage - installation of riva studio 2, insert, dry, woodburner, cac133649 - swimming pool"
9219,Canterbury,Christchurch,11-Mar-19,CBCN/2019/1442,18 Clipper Place,Redwood,Christchurch,  ,Lot 23 DP 24694,,4500,"alteration to dwelling - installation of a enviro ef5 evolution fs cb, freestanding dry woodburner, cac081219"
9220,Canterbury,Christchurch,11-Mar-19,CBCN/2019/1477,43 Spencer Street,Addington,Christchurch,  ,Pt Lot 156 DP 63,,5000,"alteration to dwelling - installation of a blaze king sirocco sc30l, freestanding dry woodburner, cac181245"
9221,Canterbury,Christchurch,11-Mar-19,CBCN/2019/1368,77 O'Neill Avenue,Belfast,Christchurch,  ,Lot 407 DP 318347,,5000,alteration to dwelling - installation of a metro wee rad ultra (uleb) dry freestanding woodburner - cac191262
9222,Canterbury,Christchurch,11-Mar-19,CBCN/2019/1379,1/56 Bay View Road,Moncks Bay,Christchurch,  ,Flat 1 DP 74412 on Lot 6 DP 14841 having share in 789 m2,,5500,alteration to dwelling - installation of a metro wee rad ultra (uleb) dry freestanding woodburner - cac191262
9223,Canterbury,Christchurch,11-Mar-19,CBCN/2019/954,48 McLean Street,North Linwood,Christchurch,  ,Lot 22 DP 3018,,6000,"alteration to dwelling - installation of masport cromwell, freestanding, dry woodburner cac 176374"
9232,Canterbury,Christchurch,12-Mar-19,CBCN/2019/1295,61 Reserve Terrace,Lyttelton,Christchurch,  ,Lot 5 DP 12232,,3500,"alteration to dwelling - installation of warmington studio, freestanding, dry, woodburner, cac071226"
9234,Canterbury,Christchurch,12-Mar-19,CBCN/2019/1426,20 Usshers Road,Little River,Christchurch,  ,Lot 2 DP 56667,,5000,alteration to dwelling - installation of a masport osburn 1600 dry freestanding woodburner - cac111500
9235,Canterbury,Christchurch,12-Mar-19,CBCN/2019/1465,86 Tilford Street,Woolston,Christchurch,  ,Lot 1 DP 21721,,6100,"alteration to dwelling - installation of a tropicair rua, freestanding dry woodburner, cac185998"
9236,Canterbury,Christchurch,12-Mar-19,CBCN/2019/1399,808 Lavericks Ridge Road,Le Bons Bay,Christchurch,  ,"RSs 1206,19933,19934,19935,23156,23156,24746,26470,26470,26470,26471,33219,34747,34879,35270,35271 Canterbury Dist, Lots 2,3 DP 49703, Lots 1,2,3,4 DP 52503",,8000,alteration to dwelling - installation of a tropicair tawa mkiii dry insert woodburner - cac111879
9248,Canterbury,Christchurch,13-Mar-19,CBCN/2019/672,564 Cashmere Road,Halswell,Christchurch,  ,"Lot 1 DP 81757, Lot 1 DP 82258",,6500,"alteration to dwelling - installation of harris ferva saturn, freestanding, dry, woodburner cac169888"
9263,Canterbury,Christchurch,14-Mar-19,CBCN/2019/1491,3 Pannell Avenue,Wainoni,Christchurch,  ,Lot 54 DP 9438,,4000,"alterations to dwelling - installation of metro wee rad ultra (uleb), freestanding dry woodburner cac191262"
9264,Canterbury,Christchurch,14-Mar-19,CBCN/2019/1472,12 Purau Avenue,Diamond Harbour,Christchurch,  ,Lot 129 DP 7459,,4500,"alteration to dwelling - installation of warmington studio stove-14, freestanding dry woodburner, cac160215"
9265,Canterbury,Christchurch,14-Mar-19,CBCN/2019/1402,19 Orrick Crescent,Avondale,Christchurch,  ,Lot 2 DP 21585,,5000,"alteration to dwelling - installation of metro wee rad ultra, freestanding, dry, woodburner, cac191262"
9266,Canterbury,Christchurch,14-Mar-19,CBCN/2019/629,45 Ben Nevis Drive,Masham,Christchurch,  ,Lot 23 DP 52304,,6000,"alteration to dwelling - installation of - jayline ul200, freestanding, dry, woodburner, cac183251"
9278,Canterbury,Christchurch,15-Mar-19,CBCN/2019/1213,40 Hockey Street,Bishopdale,Christchurch,  ,Lot 6 DP 23394,,5000,"alteration to dwelling - installation of tropicair duo, freestanding, wet, woodburner, cac165314"
9279,Canterbury,Christchurch,15-Mar-19,CBCN/2019/1476,77 St Davids Street,Lyttelton,Christchurch,  ,Lot 16 DP 9106,,5000,"alteration to dwelling - installation of a blaze king sirocco sc30p, freestanding, dry, woodburner - cac 181242"
9280,Canterbury,Christchurch,15-Mar-19,CBCN/2019/1468,147 Foremans Road,Islington,Christchurch,  ,Lot 8 DP 21039,,7000,"alteration to dwelling - installation of tropicair duo, freestanding wetback woodburner cac164316"
9295,Canterbury,Christchurch,18-Mar-19,BCN/2018/6259/A,151 Main Road,Redcliffs,Christchurch,  ,Lot 89 DP 1178,,100,"amendment 1 - change to woodburner location, new windows, cladding, lintels and foundation and bathroom layout"
9296,Canterbury,Christchurch,18-Mar-19,BCN/2019/1518,15 Valecrest Avenue,Parklands,Christchurch,  ,Lot 54 DP 36961,,5000,"alteration to dwelling - installation of jayline ul200, freestanding dry woodburner - cac183251"
9297,Canterbury,Christchurch,18-Mar-19,BCN/2019/483,26 Thorrington Road,Cashmere,Christchurch,  ,Lot 1 DP 11273,,6300,"alteration to dwelling - installation of harris ferva saturn, freestanding, dry, woodburner cac169888"
9298,Canterbury,Christchurch,18-Mar-19,BCN/2019/1666,217 Geraldine Street,St Albans,Christchurch,  ,Lot 1 DP 80868,,7000,"alteration to dwelling - installation of tropicair rua, freestanding, dry, woodburner cac185998"
9306,Canterbury,Christchurch,19-Mar-19,BCN/2019/1417,26 Coronation Street,Spreydon,Christchurch,  ,Lot 7 DP 14322,,5000,"alterations to dwelling - installation of a jayline ul200, freestanding, dry wood burner - cac183251"
9313,Canterbury,Christchurch,19-Mar-19,BCN/2019/902,21 Saddleback Green,Oaklands,Christchurch,  ,Lot 2 DP 508725,,373000,"construction of a dwelling with attached garage - installation of metro wee rad, dry, freestanding, woodburner, cac092977"
9320,Canterbury,Christchurch,20-Mar-19,BCN/2019/1557,27 Forfar Street,St Albans,Christchurch,  ,"Pt Lots 50,51 DP 1527",,5000,"alteration to dwelling - installation of a metro wee rad ultra uleb, freestanding, dry, woodburner, cac-191262"
9321,Canterbury,Christchurch,20-Mar-19,BCN/2019/1548,332 Marine Parade,South New Brighton,Christchurch,  ,Lot 1 DP 19269,,6000,"alteration to dwelling - installation of masport cromwell, freestanding, dry, woodburner, cac176374"
9322,Canterbury,Christchurch,20-Mar-19,BCN/2019/1713,11 Roswell Place,Islington,Christchurch,  ,Lot 6 DP 25070,,6400,"alteration to dwelling - installation of a tropicair rua, freestanding dry woodburner, cac185998"
9336,Canterbury,Christchurch,21-Mar-19,BCN/2019/1589,96 Santa Maria Avenue,Mt Pleasant,Christchurch,  ,Lot 8 DP 72210,,7500,"alteration to dwelling - installation of tropicair duo, freestanding, dry, woodburner cac164316"
9341,Canterbury,Christchurch,21-Mar-19,BCN/2019/645,176 Moncks Spur Road,Moncks Spur,Christchurch,  ,Lot 1 DP 14789,,50000,"alteration to dwelling - refit bathroom, remove partial wall in living room.  installation of tropcair duo, freestanding, wet, woodburner  cac 164316"
9342,Canterbury,Christchurch,21-Mar-19,BCN/2018/8763,2 Ross Parade,Lyttelton,Christchurch,  ,Lot 2 DP 42974,,100000,"alterations to dwelling - relevel and reclad - installation of tropicair duo, freestanding, dry, woodburner, cac164316"
9350,Canterbury,Christchurch,22-Mar-19,BCN/2019/1707,18 Gibbon Street,Sydenham,Christchurch,  ,Lot 1 DP 9726,,100,"alteration to dwelling - installation of tropicair duo, freestanding, dry, woodburner, cac164316"
9351,Canterbury,Christchurch,22-Mar-19,BCN/2019/1692,118 Wales Street,Oaklands,Christchurch,  ,Lot 49 DP 27135,,4000,"alteration to dwelling - installation of a metro wee rad ultra, freestanding, dry, wood burner, cac191262"
9352,Canterbury,Christchurch,22-Mar-19,BCN/2019/1682,30 Glencullen Drive,Glasnevin,Christchurch,  ,Lot 41 DP 78380,,5500,"alteration to dwelling - installation of metro wee rad ultra, freestanding, dry, woodburner, cac191262"
9353,Canterbury,Christchurch,22-Mar-19,BCN/2019/1766,96A Randolph Street,Linwood,Christchurch,  ,Lot 2 DP 75495,,5800,"alteration to dwelling - installation of tropicair rua, freestanding, dry, woodburner cac185998"
9354,Canterbury,Christchurch,22-Mar-19,BCN/2019/1759,24 Martindales Road,Heathcote,Christchurch,  ,Lot 1 DP 356397,,8900,"alteration to dwelling - installation of tropicair duo, freestanding, wet, woodburner cac165314"
