,region,council,date_issued,council_ref,location_street,location_suburb,location_area,location_all, Location_Postcode ,legal_description,val_number,consent_value,description
7968,Canterbury,Christchurch,7-Feb-20,CBCN/2020/601,14 Takahe Drive,Cashmere,Christchurch,14 Takahe Drive Cashmere Christchurch,  ,Flat 1 DP 59860 on Lot 4 DP 20843 having share in 981 m2,,5000,"alteration to dwelling - installation of blaze kind sirocco sc20p.nz, freestanding, dry, wood burner cac 185213"
7969,Canterbury,Christchurch,7-Feb-20,CBCN/2020/607,6 Fergusson Avenue,St Albans,Christchurch,6 Fergusson Avenue St Albans Christchurch,  ,Lot 1 DP 8682,,5000,alteration to dwelling - installation of a blaze king sirocco sc20p.nz (uleb) dry freestanding woodburner - cac185213
7985,Canterbury,Christchurch,10-Feb-20,CBCN/2020/398,2/37 Neville Street,Spreydon,Christchurch,2/37 Neville Street Spreydon Christchurch,  ,Flat 2 DP 53482 on Lot 1 DP 52706 having share in 1939 m2,,5000,"alterations to dwelling - installation of metro ultra xtreme rad, freestanding, dry, woodburner, cac200997"
7986,Canterbury,Christchurch,10-Feb-20,CBCN/2020/633,8 Hemingford Place,Westlake,Christchurch,8 Hemingford Place Westlake Christchurch,  ,Lot 183 DP 64611,,5000,"alteration to dwelling - installation of blaze king sirocco sc20l, freestanding, dry, woodburner, cac185214"
7988,Canterbury,Christchurch,10-Feb-20,CBCN/2020/648,13 Hyllton Heights,Lyttelton,Christchurch,13 Hyllton Heights Lyttelton Christchurch,  ,Lot 13 DP 75633,,5800,alteration to dwelling - installation of a tropicair rua (uleb) dry freestanding woodburner - cac185998
7989,Canterbury,Christchurch,10-Feb-20,CBCN/2020/645,54 Bradwell Crescent,Halswell,Christchurch,54 Bradwell Crescent Halswell Christchurch,  ,Lot 584 DP 487673,,6500,"alteration to dwelling - installation of tropicair duo, freestanding, dry, woodburner, cac164316"
7991,Canterbury,Christchurch,10-Feb-20,CBCN/2019/8730,66 Mathers Road,Hoon Hay,Christchurch,66 Mathers Road Hoon Hay Christchurch,  ,Lot 11 DP 19253,,30000,"additions and alterations to dwelling -  reconfigure bathroom and laundry.  remove conservatory.   installation of woodsman serene, freestanding dry woodburner cac194586"
7997,Canterbury,Christchurch,10-Feb-20,CBCN/2019/8715,65 Koromiko Crescent,Diamond Harbour,Christchurch,65 Koromiko Crescent Diamond Harbour Christchurch,  ,Lot 18 DP 72141,,720000,"construction of dwelling with attached garage, installtion of  tropicair rua, freestanding, dry woodburner cac185998"
8000,Canterbury,Christchurch,11-Feb-20,CBCN/2020/570,17 Paddington Street,Northcote,Christchurch,17 Paddington Street Northcote Christchurch,  ,Lot 3 DP 54057,,5000,"alteration to dwelling -  installation of woodsman serene, freestanding,  dry, wood burner cac194586"
8001,Canterbury,Christchurch,11-Feb-20,CBCN/2020/568,22 Uxbridge Street,Northcote,Christchurch,22 Uxbridge Street Northcote Christchurch,  ,Lot 51 DP 19273,,5000,"alteration to dwelling - installation of a woodsman serene, freestanding, dry, wood burner  cac 194586"
8002,Canterbury,Christchurch,11-Feb-20,CBCN/2020/567,33 Lambeth Crescent,Northcote,Christchurch,33 Lambeth Crescent Northcote Christchurch,  ,Lot 199 DP 19275,,5000,"alteration to dwelling -  installation of woodsman serene, freestanding,  dry, wood burner cac194586"
8024,Canterbury,Christchurch,13-Feb-20,CBCN/2020/569,5 Aberfoyle Place,Queenspark,Christchurch,5 Aberfoyle Place Queenspark Christchurch,  ,Lot 10 DP 53592,,6000,"alteration to dwelling - installation of metro wee rad ultra, freestanding, dry, woodburner, cac191262"
8043,Canterbury,Christchurch,14-Feb-20,CBCN/2020/643,88 Waratah Street,Avondale,Christchurch,88 Waratah Street Avondale Christchurch,  ,Lot 17 DP 45875,,4130,"alteration to dwelling - installation of woodsman serene, freestanding dry woodburner cac194586"
8045,Canterbury,Christchurch,14-Feb-20,CBCN/2020/585,5 Mersey Street,Little River,Christchurch,5 Mersey Street Little River Christchurch,  ,Lot 27 DP 297,,5000,"alteration to dwelling - installation of masport r5000, freestanding, wet, woodburner, cac131556"
8046,Canterbury,Christchurch,14-Feb-20,CBCN/2020/718,20A Bentley Street,Russley,Christchurch,20A Bentley Street Russley Christchurch,  ,Lot 2 DP 29758,,6000,"alteration to dwelling - installation of masport rakaia, freestanding, woodburner, dry, cac200855"
8048,Canterbury,Christchurch,14-Feb-20,CBCN/2019/8166,1 Clifton Street,Birdlings Flat,Christchurch,1 Clifton Street Birdlings Flat Christchurch,  ,Lot 28 DP 343608,,300000,construction of dwelling with attached garage and the installation of a woodsman flare dry freestanding woodburner - cac134775
8062,Canterbury,Christchurch,17-Feb-20,CBCN/2020/804,42 Epsom Road,Upper Riccarton,Christchurch,42 Epsom Road Upper Riccarton Christchurch,  ,Lot 1 DP 440256,,4500,"alteration to dwelling - installation of pyroclassic mini, freestanding, dry, woodburner, cac193584"
8063,Canterbury,Christchurch,17-Feb-20,CBCN/2020/814,16 Brittan Terrace,Lyttelton,Christchurch,16 Brittan Terrace Lyttelton Christchurch,  ,"Lots 2,3 DP 9330",,4500,"alteration to dwelling - installation of masport le4000 provincial, inbuilt, dry, woodburner cac 71591"
8064,Canterbury,Christchurch,17-Feb-20,CBCN/2020/618,62 Butler Street,Opawa,Christchurch,62 Butler Street Opawa Christchurch,  ,Lot 35 DP 45655,,6000,"alteration to dwelling - installation of masport rakaia, freestanding, dry, woodburner, cac200855"
8065,Canterbury,Christchurch,17-Feb-20,CBCN/2020/845,230 Pine Avenue,South New Brighton,Christchurch,230 Pine Avenue South New Brighton Christchurch,  ,Lot 4 DP 6797,,6800,"alteration to dwelling - installation of a tropicair duo, freestanding dry woodburner, cac164316"
8070,Canterbury,Christchurch,17-Feb-20,CBCN/2019/8457,10 Ticehurst Road,Lyttelton,Christchurch,10 Ticehurst Road Lyttelton Christchurch,  ,"Lot 1 DP 7768, Pt Sec 307 Lyttelton Town",,640000,"construction of dwelling with attached garage and installation of pyrclassic iv, freestanding, dry, woodburner, cac194576"
8072,Canterbury,Christchurch,17-Feb-20,CBCN/2019/8459,36 Manakura Street,Riccarton Park,Christchurch,36 Manakura Street Riccarton Park Christchurch,  ,,,1000000,"construction of 4 detached dwellings with attached garages lots 7-10 - installation of masport rakaia freestanding, dry, woodburner - cac 200855 to lot 9"
8078,Canterbury,Christchurch,18-Feb-20,CBCN/2020/735,151 Shaw Avenue,New Brighton,Christchurch,151 Shaw Avenue New Brighton Christchurch,  ,Lot 4 DP 3997,,3400,"alteration to dwelling - installation of woodsman serene uleb, freestanding, dry, woodburner, cac194586"
8079,Canterbury,Christchurch,18-Feb-20,CBCN/2020/772,14 Joy Street,Shirley,Christchurch,14 Joy Street Shirley Christchurch,  ,Lot 10 DP 16555,,5000,"alteration to dwelling - installation of woodsman serene, freestanding, woodburner, dry, cac194586"
8080,Canterbury,Christchurch,18-Feb-20,CBCN/2020/579,16 Bottle Lake Drive,Queenspark,Christchurch,16 Bottle Lake Drive Queenspark Christchurch,  ,Lot 41 DP 324885,,5000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8086,Canterbury,Christchurch,18-Feb-20,CBCN/2019/8611,15 Savills Road,Harewood,Christchurch,15 Savills Road Harewood Christchurch,  ,Lot 1 DP 21060,,250000,"additions and alterations to dwelling - addition of two bedrooms with ensuites, living areas and installation of a woodsman brunner mk ii, freestanding, dry, woodburner - cac 142896"
8091,Canterbury,Christchurch,18-Feb-20,CBCN/2019/7852,124 Panorama Road,Clifton,Christchurch,124 Panorama Road Clifton Christchurch,  ,Lot 1 DP 535336,,700000,construction of dwelling with attached garage. installation of ferva saturn freestanding dry woodburner cac# 169888
8092,Canterbury,Christchurch,18-Feb-20,CBCN/2019/8174,37 Heberden Avenue,Scarborough,Christchurch,37 Heberden Avenue Scarborough Christchurch,  ,Lot 3 DP 322566,,972510,"construction of dwelling with attached garage, installation of firebird enviomax systempac diesel burner and associated tank, radiators and pipework and installation of blaze king chinook ck20.nz uleb, freestanding, dry, woodburner, cac-194834"
8104,Canterbury,Christchurch,19-Feb-20,CBCN/2020/63,10 View Terrace,Huntsbury,Christchurch,10 View Terrace Huntsbury Christchurch,  ,"Pt Lot 11 DP 20202, Lot 7 DP 20202",,250000,"addition and alteration to dwelling - rebuild decks - bedroom extension - detached garage - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8114,Canterbury,Christchurch,20-Feb-20,CBCN/2020/761,33B Seafield Road,Duvauchelle,Christchurch,33B Seafield Road Duvauchelle Christchurch,  ,Lot 18 DP 22523,,4500,"alteration to dwelling - installation of masport r5000, freestanding, wet, wood burner cac131556"
8115,Canterbury,Christchurch,20-Feb-20,CBCN/2020/724,40 Walters Road,Marshland,Christchurch,40 Walters Road Marshland Christchurch,  ,Lot 2 DP 534663,,5000,"alteration to dwelling - installation of masport r10000 mackenzie, freestanding, dry, wood burner  cac143970"
8116,Canterbury,Christchurch,20-Feb-20,CBCN/2020/737,16 Bernadette Street,Oaklands,Christchurch,16 Bernadette Street Oaklands Christchurch,  ,Lot 43 DP 302598,,5000,"alteration to dwelling - installation of masport rakaia, freestanding, dry, wood burner cac200855"
8117,Canterbury,Christchurch,20-Feb-20,CBCN/2020/747,100 Roydon Drive,Templeton,Christchurch,100 Roydon Drive Templeton Christchurch,  ,Flat 1 DP 71163 on Lot 66 DP 63784 having share in 719 m2,,5000,"alterations to dwelling -  installation of masport cromwell, freestanding, dry,  wood burner cac176374"
8118,Canterbury,Christchurch,20-Feb-20,CBCN/2020/788,43 Teesdale Street,Burnside,Christchurch,43 Teesdale Street Burnside Christchurch,  ,Lot 33 DP 22232,,5000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8126,Canterbury,Christchurch,20-Feb-20,CBCN/2019/6077,124 Georgina Street,Burwood,Christchurch,124 Georgina Street Burwood Christchurch,  ,Lot 199 DP 503675,,550000,"construction of dwelling with two attached garages and installation of blaze king sirocco sc20p.nz, freestanding, dry, woodburner, cac185213"
8134,Canterbury,Christchurch,21-Feb-20,CBCN/2020/977,4 Dulcie Place,Bishopdale,Christchurch,4 Dulcie Place Bishopdale Christchurch,  ,Lot 2 DP 43875,,4500,"alteration to dwelling - installation of pyroclassic mini, freestanding, dry, woodburner, cac193584"
8140,Canterbury,Christchurch,21-Feb-20,CBCN/2019/8342,128 Esplanade,Sumner,Christchurch,128 Esplanade Sumner Christchurch,  ,Lot 4 DP 83885,,2000000,"construction of dwelling with attached garage and installation of woodsman serene uleb, freestanding, dry, woodburner, cac194586"
8146,Canterbury,Christchurch,24-Feb-20,CBCN/2020/982,7 Hope Street,Shirley,Christchurch,7 Hope Street Shirley Christchurch,  ,Lot 3 DP 48318,,4500,"alteration to dwelling - installation of blaze king sirocco sc2op, freestanding, dry, woodburner, cac185213"
8147,Canterbury,Christchurch,24-Feb-20,CBCN/2020/1007,44B Park Terrace,Lyttelton,Christchurch,44B Park Terrace Lyttelton Christchurch,  ,Lot 1 DP 42767,,5000,"alteration to dwelling - installation of a tropicair rua, freestanding, dry, wood burner cac 185998"
8148,Canterbury,Christchurch,24-Feb-20,CBCN/2020/1014,34 Heberden Avenue,Sumner,Christchurch,34 Heberden Avenue Sumner Christchurch,  ,Lot 1 DP 49318,,5800,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8165,Canterbury,Christchurch,25-Feb-20,CBCN/2020/885,31 Guernsey Street,Aranui,Christchurch,31 Guernsey Street Aranui Christchurch,  ,Lot 96 DP 37325,,100,"alteration to dwelling - installation of rika como, freestanding, dry, wood burner, cac134108"
8167,Canterbury,Christchurch,25-Feb-20,CBCN/2020/767,191 Purau Avenue,Diamond Harbour,Christchurch,191 Purau Avenue Diamond Harbour Christchurch,  ,Lot 1 DP 530744,,3500,"alteration to dwelling - installation of scandia, freestanding, dry, woodburner"
8168,Canterbury,Christchurch,25-Feb-20,CBCN/2020/768,3 Lighthouse Lane,Governors Bay,Christchurch,3 Lighthouse Lane Governors Bay Christchurch,  ,Lot 3 DP 4788,,4500,"alteration to dwelling - installation of jayline fr400 freestanding, dry, woodburner, cac173529"
8169,Canterbury,Christchurch,25-Feb-20,CBCN/2020/787,90 Apsley Drive,Hyde Park,Christchurch,90 Apsley Drive Hyde Park Christchurch,  ,Lot 22 DP 50315,,5000,"alterations to dwelling - installation of masport rakaia, freestanding,dry, wood burner cac200855"
8170,Canterbury,Christchurch,25-Feb-20,CBCN/2020/1038,55 Cuffs Road,Wainoni,Christchurch,55 Cuffs Road Wainoni Christchurch,  ,Lot 2 DP 336787,,5200,"alteration to dwelling - installation of tropicair rua, freestanding, dry, woodburner, cac185998"
8172,Canterbury,Christchurch,25-Feb-20,CBCN/2020/842,15 Archer Street,St Albans,Christchurch,15 Archer Street St Albans Christchurch,  ,Lot 6 DP 6635,,6000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, wood burner cac 194586"
8173,Canterbury,Christchurch,25-Feb-20,CBCN/2020/844,18 Truro Street,Sumner,Christchurch,18 Truro Street Sumner Christchurch,  ,Lot 3 DP 22625,,6000,"alterations to dwelling - installation of woodsman serene, freestanding, dry, wood burner cac194586"
8174,Canterbury,Christchurch,25-Feb-20,CBCN/2020/1046,25 Curries Road,Hillsborough,Christchurch,25 Curries Road Hillsborough Christchurch,  ,Lot 16 DP 13838,,6100,"alteration to dwelling - installation of a  woodsman serene, freestanding dry woodburner, cac194586"
8187,Canterbury,Christchurch,26-Feb-20,CBCN/2020/927,60 Somerfield Street,Somerfield,Christchurch,60 Somerfield Street Somerfield Christchurch,  ,Pt Sec 21 TARAWAHI Haml,,4000,"alteration to dwelling - installation of  woodsman serene, freestanding, dry, woodburner, cac194586"
8188,Canterbury,Christchurch,26-Feb-20,CBCN/2020/889,612 Marshland Road,Ouruhia,Christchurch,612 Marshland Road Ouruhia Christchurch,  ,Lot 23 DP 2773,,5000,"alteration to dwelling - installation of masport r5000l, freestanding, dry, wood burner cac 131295"
8189,Canterbury,Christchurch,26-Feb-20,CBCN/2020/841,22 Sunvale Terrace,Cashmere,Christchurch,22 Sunvale Terrace Cashmere Christchurch,  ,Lot 3 DP 30201,,6000,"alteration to dwelling - installation of woodsman rakaia, freestanding, dry, wood burner, cac200855"
8190,Canterbury,Christchurch,26-Feb-20,CBCN/2020/925,9 College Road,Lyttelton,Christchurch,9 College Road Lyttelton Christchurch,  ,Flat 2 DP 66448 on Lot 5 DP 34577 having share in 739 m2,,6000,"alterations to dwelling - installation of masport r3000ws, freestanding, dry, wood burner cac191125"
8191,Canterbury,Christchurch,26-Feb-20,CBCN/2020/785,3 Channel Place,Aranui,Christchurch,3 Channel Place Aranui Christchurch,  ,Lot 102 DP 37664,,7000,"alteration to dwelling - installation of woodsman serene, freestanding, woodburner, dry, cac194586"
8192,Canterbury,Christchurch,26-Feb-20,CBCN/2020/758,109 Rocking Horse Road,Southshore,Christchurch,109 Rocking Horse Road Southshore Christchurch,  ,Lot 1 DP 23327,,7000,"alteration to dwelling - installation of masport rakaia, freestanding, wood burner, dry, cac200855"
8194,Canterbury,Christchurch,26-Feb-20,CBCN/2019/8348,8 Gazelle Lane,Balmoral Hill,Christchurch,8 Gazelle Lane Balmoral Hill Christchurch,  ,Lot 8 DP 77841,,298000,construction of dwelling and iinstallation of woodsman serene uleb freestanding dry wood burner cac194586
8200,Canterbury,Christchurch,27-Feb-20,CBCN/2020/757,331A Breezes Road,Aranui,Christchurch,331A Breezes Road Aranui Christchurch,  ,Lot 4 DP 30968,,7000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8211,Canterbury,Christchurch,28-Feb-20,CBCN/2020/997,7 Sonning Place,Redwood,Christchurch,7 Sonning Place Redwood Christchurch,  ,Lot 68 DP 43818,,6000,"alteration to dwelling - installation of a masport rakaia, freestanding, dry, woodburner - cac200855"
8212,Canterbury,Christchurch,28-Feb-20,CBCN/2020/1119,1075 Dyers Pass Road,Governors Bay,Christchurch,1075 Dyers Pass Road Governors Bay Christchurch,  ,Lot 2 DP 58104,,6600,"alteration to dwelling - installation of masport rakaia, freestanding, dry, woodburner, cac200855"
8220,Canterbury,Christchurch,2-Mar-20,CBCN/2020/1050,2/8 Cascade Place,Sumner,Christchurch,2/8 Cascade Place Sumner Christchurch,  ,Flat 2 DP 44076 on Lot 13 DP 43027 having share in 597 m2,,4500,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8221,Canterbury,Christchurch,2-Mar-20,CBCN/2020/1159,91 Hampshire Street,Wainoni,Christchurch,91 Hampshire Street Wainoni Christchurch,  ,Lot 179 DP 22291,,4500,"alteration to dwelling - installation of masport rakaia, freestanding, dry, woodburner, cac200855"
8227,Canterbury,Christchurch,2-Mar-20,CBCN/2019/5530,32 Chorlton Road,Okains Bay,Christchurch,32 Chorlton Road Okains Bay Christchurch,  ,RS 1893 Canterbury Dist,,550000,construction of dwelling with small heated pool and installation of a regency mansfield l850b st insert woodburner. construction of detached shed with attached sleepout.
8246,Canterbury,Christchurch,3-Mar-20,CBCN/2019/8432,29 Hawkshead Way,Westmorland,Christchurch,29 Hawkshead Way Westmorland Christchurch,  ,Lot 154 DP 521122,,480000,construction of dwelling with attached garage and installation of blaze king sirocco sc20p.nz freestanding dry wood burner cac185213
8249,Canterbury,Christchurch,3-Mar-20,CBCN/2020/195,20 Woodhouse Street,North Linwood,Christchurch,20 Woodhouse Street North Linwood Christchurch,  ,Lot 19 DP 2754,,750000,"construction of 2 detached dwellings, one with attached garage - installation of woodsman serene, freestanding, woodburner, dry, cac194586"
8261,Canterbury,Christchurch,4-Mar-20,CBCN/2020/971,37 Bellbrook Crescent,Shirley,Christchurch,37 Bellbrook Crescent Shirley Christchurch,  ,Lot 345 DP 21010,,5000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner cac194586"
8262,Canterbury,Christchurch,4-Mar-20,CBCN/2020/1052,25 Derenzy Place,Avonhead,Christchurch,25 Derenzy Place Avonhead Christchurch,  ,Lot 12 DP 50297,,6000,"alterations to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8286,Canterbury,Christchurch,5-Mar-20,CBCN/2017/704/A,11 Harry Ell Drive,Cashmere,Christchurch,11 Harry Ell Drive Cashmere Christchurch,  ,Lot 3 DP 61571,,100,"amendment 1 - addition of harris ferva serene uleb, freestanding, dry, woodburner, cac-169888"
8288,Canterbury,Christchurch,5-Mar-20,CBCN/2020/1192,12 Claridges Road,Casebrook,Christchurch,12 Claridges Road Casebrook Christchurch,  ,Lot 24 DP 25933,,4000,"alteration to dwelling - installation of a woodsman serene, freestanding, dry, woodburner - cac  194586"
8289,Canterbury,Christchurch,5-Mar-20,CBCN/2020/1267,2 Bluewater View,Mt Pleasant,Christchurch,2 Bluewater View Mt Pleasant Christchurch,  ,"Lots 21,59 DP 345901",,5000,"alteration to dwelling - installation of blaze king chinook ck20, freestanding, dry, woodburner, cac194834"
8290,Canterbury,Christchurch,5-Mar-20,CBCN/2020/1268,23 Vardon Crescent,Shirley,Christchurch,23 Vardon Crescent Shirley Christchurch,  ,Lot 59 DP 21794,,6700,"alteration to dwelling - installation of masport rakaia, freestanding, dry, woodburner, cac200855"
8306,Canterbury,Christchurch,6-Mar-20,CBCN/2020/1305,58 Woodills Road,Akaroa,Christchurch,58 Woodills Road Akaroa Christchurch,  ,Lot 2 DP 33760,,4500,"alteration to dwelling - installation of pyroclassic mini, freestanding, dry, woodburner, cac193584"
8308,Canterbury,Christchurch,6-Mar-20,CBCN/2020/1122,213 Olliviers Road,Linwood,Christchurch,213 Olliviers Road Linwood Christchurch,  ,Lot 2 DP 3200,,5000,"alteration to dwelling - installation of woodsman serene wb uleb, freestanding, wetback, woodburner, cac-194588"
8309,Canterbury,Christchurch,6-Mar-20,CBCN/2020/998,81 Cotswold Avenue,Bishopdale,Christchurch,81 Cotswold Avenue Bishopdale Christchurch,  ,Lot 234 DP 24510,,6000,"alterations to dwelling - installation of masport rakaia, freestanding, dry, woodburner, cac200855"
8310,Canterbury,Christchurch,6-Mar-20,CBCN/2020/1076,7 Grimseys Road,Redwood,Christchurch,7 Grimseys Road Redwood Christchurch,  ,Lot 7 DP 17533,,6000,"alterations to dwelling - installation of metro ultra, insert, dry, woodburner, cac194337"
8316,Canterbury,Christchurch,6-Mar-20,CBCN/2020/524,9 Heaton Rhodes Place,Cashmere,Christchurch,9 Heaton Rhodes Place Cashmere Christchurch,  ,Lot 1 DP 22466,,110000,"addition & alteration to dwelling - internal re-configuration, extension to bedroom, addition of verandah and deck; and the installation of a pyroclassic iv (uleb) dry freestanding woodburner - cac194576"
8349,Canterbury,Christchurch,9-Mar-20,CBCN/2019/8727,1 Parkridge Place,Mt Pleasant,Christchurch,1 Parkridge Place Mt Pleasant Christchurch,  ,Lot 23 DP 396312,,900000,construction of dwelling with attached garage and installation of a woodsman serene freestanding dry wood burner cac194586
8352,Canterbury,Christchurch,10-Mar-20,CBCN/2020/1229,13 Thomas Street,Bromley,Christchurch,13 Thomas Street Bromley Christchurch,  ,Lot 57 DP 15000,,100,"alteration to dwelling - installation of woodsman serene , freestanding, dry, wood burner cac194586"
8354,Canterbury,Christchurch,10-Mar-20,CBCN/2020/1195,31 Eastern Terrace,Beckenham,Christchurch,31 Eastern Terrace Beckenham Christchurch,  ,"Pt Lot 1 DP 14347, Pt Lot 2 DP 9057",,2500,"alteration to dwelling - installation of firenzo contessa ag - clean air, freestanding, second hand, wetback wood burner, cac093219 to be relocated within same dwelling"
8355,Canterbury,Christchurch,10-Mar-20,CBCN/2020/1049,28 Keswick Street,Woolston,Christchurch,28 Keswick Street Woolston Christchurch,  ,Lot 2 DP 10917,,5000,"alteration to dwelling - installation of woodsman serene, freestanding, dry woodburner - cac194586"
8356,Canterbury,Christchurch,10-Mar-20,CBCN/2020/1355,93 Conway Street,Spreydon,Christchurch,93 Conway Street Spreydon Christchurch,  ,Lot 2 DP 8069,,5000,"alteration dwelling - installation of a blaze king sirocco sc30p.nz, freestanding , dry, wood burner cac 181242"
8357,Canterbury,Christchurch,10-Mar-20,CBCN/2020/1340,120 Main Road,Governors Bay,Christchurch,120 Main Road Governors Bay Christchurch,  ,Lot 2 DP 399697,,5400,"alteration to dwelling - installation of metro wee rad base, freestanding, dry, woodburner, cac152162"
8358,Canterbury,Christchurch,10-Mar-20,CBCN/2020/1172,28 Ti Rakau Drive,Woolston,Christchurch,28 Ti Rakau Drive Woolston Christchurch,  ,Lot 158 DP 74803,,6000,"alteration to dwelling - installation of masport rakaia, freestanding, wood burner, dry, cac200855"
8359,Canterbury,Christchurch,10-Mar-20,CBCN/2020/1351,82 Port Hills Road,Heathcote,Christchurch,82 Port Hills Road Heathcote Christchurch,  ,Lot 2 DP 18221,,6000,"alteration to dwelling - installation of a metro wee rad ultra, freestanding dry woodburner, cac191262"
8360,Canterbury,Christchurch,10-Mar-20,CBCN/2020/1173,1926 Christchurch Akaroa Road,Motukarara,Christchurch,1926 Christchurch Akaroa Road Motukarara Christchurch,  ,Lot 2 DP 56852,,6000,"alteration to dwelling - installation of woodsman tasman mk11, freestanding, wood burner, dry, cac142898"
8372,Canterbury,Christchurch,10-Mar-20,CBCN/2019/6346/A,415 Sawyers Arms Road,Bishopdale,Christchurch,415 Sawyers Arms Road Bishopdale Christchurch,  ,Lot 2 DP 53010,,400000,amendment 1 - change floor plan layout includes removal of media room and relocate garage. change burner model to masport rakaia uleb freestanding dry wood burner cac-200855.
8379,Canterbury,Christchurch,11-Mar-20,CBCN/2019/5403/A,11 Flesher Avenue,Richmond,Christchurch,11 Flesher Avenue Richmond Christchurch,  ,Lot 113 DP 14735,,100,"amendment 1 - change in woodburner location, and make & model to a woodsman serene (uleb) dry freestanding woodburner - cac194586"
8380,Canterbury,Christchurch,11-Mar-20,CBCN/2020/1389,1/138 Esplanade,Sumner,Christchurch,1/138 Esplanade Sumner Christchurch,  ,Unit A DP 40710 on Lot 1 DP 34681 having share in 781 m2,,4500,"alteration to dwelling - installation of ravelli rosa r70, freestanding, dry, wood burner, cac 174364"
8381,Canterbury,Christchurch,11-Mar-20,CBCN/2020/1175,250 Bridle Path Road,Heathcote,Christchurch,250 Bridle Path Road Heathcote Christchurch,  ,Lot 2 DP 429018,,4541,"alterations to dwelling - installation of  woodsman serene, freestanding, dry, woodburner cac194586"
8382,Canterbury,Christchurch,11-Mar-20,CBCN/2020/1062,25 Katrine Drive,Burwood,Christchurch,25 Katrine Drive Burwood Christchurch,  ,Lot 644 DP 512762,,5000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8383,Canterbury,Christchurch,11-Mar-20,CBCN/2020/1418,23 Corfe Street,Upper Riccarton,Christchurch,23 Corfe Street Upper Riccarton Christchurch,  ,Lot 62 DP 44857,,5000,"alteration to dwelling - installation of a blaze king sirocco sc20l , freestanding dry woodburner, cac185214"
8384,Canterbury,Christchurch,11-Mar-20,CBCN/2020/1171,60 Burwood Road,Burwood,Christchurch,60 Burwood Road Burwood Christchurch,  ,Lot 1 DP 25285,,6000,"alteration to dwelling - installation of masport rakaia, freestanding, dry, woodburner cac200855"
8391,Canterbury,Christchurch,11-Mar-20,CBCN/2019/4958,5 Montgomery Terrace,St Martins,Christchurch,5 Montgomery Terrace St Martins Christchurch,  ,Lot 2 DP 28675,,155000,"construction of dwelling and installation of a woodsman serene, freestanding, dry, woodburner - cac 194586"
8406,Canterbury,Christchurch,12-Mar-20,CBCN/2019/5810/A,113 Aldershot Street,Wainoni,Christchurch,113 Aldershot Street Wainoni Christchurch,  ,Lot 504 DP 22500,,100,"amendment 1 - change in woodburner model from a metro insert to a woodsman serene uleb, freestanding, dry woodburner, cac194586"
8418,Canterbury,Christchurch,12-Mar-20,CBCN/2020/542,10 Irvines Track,Halswell,Christchurch,10 Irvines Track Halswell Christchurch,  ,Lot 16 DP 536896,,380000,"construction of dwelling with attached garage and installation of uleb pyroclassic iv, freestanding, woodburner, dry, cac194576"
8426,Canterbury,Christchurch,13-Mar-20,CBCN/2020/1177,61 Maces Road,Bromley,Christchurch,61 Maces Road Bromley Christchurch,  ,Lot 6 DP 30587,,6000,"alterations to dwelling - installation of masport rakaia, freestanding, dry, woodburner, cac200855"
8427,Canterbury,Christchurch,13-Mar-20,CBCN/2020/1178,15 Westburn Terrace,Ilam,Christchurch,15 Westburn Terrace Ilam Christchurch,  ,Lot 1 DP 343871,,7000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8443,Canterbury,Christchurch,16-Mar-20,CBCN/2020/1278,192 Chester Street East,Central City,Christchurch,192 Chester Street East Central City Christchurch,  ,Pt Res 98 Christchurch Town,,5000,"alteration to dwelling - installation of jayline ul-200, freestanding, dry, woodburner, cac183251"
8444,Canterbury,Christchurch,16-Mar-20,CBCN/2020/1288,46 Malcolm Avenue,Beckenham,Christchurch,46 Malcolm Avenue Beckenham Christchurch,  ,Lot 10 DP 2315,,5000,"alteration to dwelling - installation of  woodsman serene, freestanding, dry, woodburner, cac194586"
8445,Canterbury,Christchurch,16-Mar-20,CBCN/2020/1360,21 Nyoli Street,Papanui,Christchurch,21 Nyoli Street Papanui Christchurch,  ,Lot 23 DP 38722,,6000,"alteration to dwelling - installation of woodsman serene, freestanding, dry, woodburner, cac194586"
8446,Canterbury,Christchurch,16-Mar-20,CBCN/2020/1362,29 Tomes Road,Papanui,Christchurch,29 Tomes Road Papanui Christchurch,  ,Lot 3 DP 7075,,6000,"alteration to dwelling - installation of masport rakaia, freestanding, dry, wood burner, cac-200855"
