add
"15 Cracroft Terrace, Cashmere"
"7 John Morel Place, Parklands"
"221 Mairehau Road, Burwood"
"10 Fenmere Place, Burwood"
"14 Greenhaven Drive, Burwood"
"43 Hay Street, Bromley"
"8 Nalder Place, Linwood"
"10 Logie Place, Bromley"
"11 Ormandy Place, Bromley"
"11 Frensham Crescent, Woolston"
"12 Digby Place, Bromley"
"15 Walcot Street, Bromley"
"20 Arran Crescent, Woolston"
"40 Damien Place, Bromley"
"42 Damien Place, Bromley"
"4 Logie Place, Bromley"
"51 Tilford Street, Woolston"
"56 Damien Place, Bromley"
"69 Hargood Street, Woolston"
"72 Hargood Street, Woolston"
"12 Cumnor Terrace, Woolston"
"37 Sheldon Street, Woolston"
"42 Chichester Street, Woolston"
"57 Rutherford Street, Woolston"
"5 Laura Kent Place, Woolston"
"654 Ferry Road, Woolston"
"19 Curries Road, Hillsborough"
"61 Barton Street, Woolston"
"7 Curries Road, Hillsborough"
"82 Bamford Street, Woolston"
"328 Lower Styx Road, Spencerville"
"102 Royal Park Drive, Parklands"
"113 Royal Park Drive, Parklands"
"147 Royal Park Drive, Parklands"
"152 Royal Park Drive, Parklands"
"158 Royal Park Drive, Parklands"
"10 Lydbury Place, Parklands"
"29B Royal Park Drive, Parklands"
"4 Sequoia Place, Parklands"
"58 Royal Park Drive, Parklands"
"5 Lydbury Place, Parklands"
"6 Farnley Place, Parklands"
"7B Sequoia Place, Parklands"
"12 Quantock Place, Burwood"
"19 Clarevale Street, Burwood"
"2 Lutheran Close, Burwood"
"21 Cossar Street, Burwood"
"51 Baynes Street, Burwood"
"66 Baynes Street, Burwood"
"19 Emlyn Place, Avondale"
"27 Eglinton Street, Avondale"
"42 Emlyn Place, Avondale"
"8 Horton Place, Avondale"
"103 Bickerton Street, Wainoni"
"115 Pages Road, Wainoni"
"83 Ottawa Road, Wainoni"
"11 Takapu Place, Bromley"
"18 Nicholas Drive, Linwood"
"30F Greers Road, Ilam"
"318 Ilam Road, Bryndwr"
"13B Clyde Road, Upper Riccarton"
"11A Chevron Place, Ilam"
"1 Brisbane Street, Sydenham"
